requirement_id,control_id
HITECH-13402-R1,CTRL-NOTIF-WF
HITECH-13402-R1,CTRL-LOGGING
HITECH-13402-R2,CTRL-NOTIF-WF
HITECH-13400-R1,CTRL-ENCRYPTION
