id,label,name,legal_reference,definition
DEF_001,Definition,digital operational resilience,Art 3(1),"the ability of a financial entity to build, assure and review its operational integrity and reliability by ensuring, either directly or indirectly through the use of services provided by ICT third-party service providers, the full range of ICT-related capabilities needed to address the security of the network and information systems which a financial entity uses, and which support the continued provision of financial services and their quality, including throughout disruptions;"
DEF_002,Definition,network and information system,Art 3(2),"a network and information system as defined in Article 6, point 1, of Directive (EU) 2022/2555;"
DEF_003,Definition,legacy ICT system,Art 3(3),"an ICT system that has reached the end of its lifecycle (end-of-life), that is not suitable for upgrades or fixes, for technological or commercial reasons, or is no longer supported by its supplier or by an ICT third-party service provider, but that is still in use and supports the functions of the financial entity;"
DEF_004,Definition,security of network and information systems,Art 3(4),"security of network and information systems as defined in Article 6, point 2, of Directive (EU) 2022/2555;"
DEF_005,Definition,ICT risk,Art 3(5),"any reasonably identifiable circumstance in relation to the use of network and information systems which, if materialised, may compromise the security of the network and information systems, of any technology dependent tool or process, of operations and processes, or of the provision of services by producing adverse effects in the digital or physical environment;"
DEF_006,Definition,information asset,Art 3(6),"a collection of information, either tangible or intangible, that is worth protecting;"
DEF_007,Definition,ICT asset,Art 3(7),a software or hardware asset in the network and information systems used by the financial entity;
DEF_008,Definition,ICT-related incident,Art 3(8),"a single event or a series of linked events unplanned by the financial entity that compromises the security of the network and information systems, and have an adverse impact on the availability, authenticity, integrity or confidentiality of data, or on the services provided by the financial entity;"
DEF_009,Definition,operational or security payment-related incident,Art 3(9),"a single event or a series of linked events unplanned by the financial entities referred to in Article 2(1), points (a) to (d), whether ICT-related or not, that has an adverse impact on the availability, authenticity, integrity or confidentiality of payment-related data, or on the payment-related services provided by the financial entity;"
DEF_010,Definition,major ICT-related incident,Art 3(10),an ICT-related incident that has a high adverse impact on the network and information systems that support critical or important functions of the financial entity;
DEF_011,Definition,major operational or security payment-related incident,Art 3(11),an operational or security payment-related incident that has a high adverse impact on the payment-related services provided;
DEF_012,Definition,cyber threat,Art 3(12),"‘cyber threat’ as defined in Article 2, point (8), of Regulation (EU) 2019/881;"
DEF_013,Definition,significant cyber threat,Art 3(13),a cyber threat the technical characteristics of which indicate that it could have the potential to result in a major ICT-related incident or a major operational or security payment-related incident;
DEF_014,Definition,cyber-attack,Art 3(14),"a malicious ICT-related incident caused by means of an attempt perpetrated by any threat actor to destroy, expose, alter, disable, steal or gain unauthorised access to, or make unauthorised use of, an asset;"
