recordsprovision_id,category,concerns_identifiable_persons,part_id,section_id,provision_id,text,source_document
REC_001,record-keeping; reporting/notification,yes,PART_III,PART_III_A,PART_III_A_p1,"The protection of health and disease control are important duties and responsibilities of local boards of health. Upon receiving information about the existence of a dangerous disease within the Commonwealth, the Massachusetts Department of Public Health (“DPH”) must commence an investigation and consult with the local boards of health. M.G.L. c. 111, s. 7. If a board of health receives notice of the existence of a dangerous disease in its jurisdiction, it must report such case to DPH within twenty-four hours, M.G.L. c. 111, s. 112-113. A list of the diseases required to be reported can be found in the Massachusetts regulations Reportable Diseases, Surveillance, and Isolation and Quarantine Requirements, 105 CMR 300.000. Boards of health must maintain records of such reports and forward copies to local school committees as well as other local boards within the jurisdiction of where the disease exists. M.G.L. c.111, s.113. Reports of deaths from dangerous diseases must be reported weekly to the Department of Public Health. M.G.L. c. 111, s. 29. Superintendents of schools must report and send notices to Boards of Health of school children sent home because of dangerous disease. M.G.L. c. 71, s. 55A. See also the School Health Manual. Nurses caring for infants must report to Boards of Health any inflammation, swelling, redness or unnatural discharge from the eyes of an infant less than two weeks old, and the Board of Health is required to take immediate action to prevent blindness. M.G.L. c. 111, s. 110. Physicians and hospital officers are required to submit to Boards of Health reports of people afflicted with cerebral palsy. Boards must submit an annual report of these cases to the Department of Public Health. M.G.L. c.111, s.111A. Boards collect reports of food poisoning, which must be reported to the Department of Public Health. 105 CMR 300.100, 105 CMR 300.131. Boards receive reports of inspections by the Division of Occupational Safety regarding violations of health laws or nuisances in industrial establishments. Local boards must investigate these reports and enforce appropriate laws. M.G.L. c.149, s.136. The Department of Public Health have co-ordinate powers with local boards of health to investigate contagious or infectious diseases. M.G.L. c. 111, s. 7.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
REC_002,reporting/notification,no,PART_III,PART_III_B,PART_III_B_p2,"Certify in writing within seven (7) days to a gas or electric company when there is a serious illness in a residence such that no gas or electric company shall shut off or fail to restore gas or electric service in any residence during such time as there is a serious illness. M.G.L. c.164, s.124A; 220 CMR 25.03(2).","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
REC_003,reporting/notification,yes,PART_III,PART_III_B,PART_III_B_p5,"Certify to the Department of Public Health persons with active tuberculosis who are unwilling or unable to accept proper medical treatment and pose a threat to public health. M.G.L. c. 111, s. 94A.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
REC_004,reporting/notification,yes,PART_IV,PART_IV_B,PART_IV_B_p1,"Chapter II of the State Sanitary Code, 105 CMR 410.000: Minimum Standards of Fitness for Human Habitation (State Sanitary Code, Chapter II), sets forth the minimum standards for housing in the Commonwealth. The purposes of this chapter are to protect public health, safety, and the well-being of occupants and the general public and to provide enforcement procedures for local boards of health. Except as specified in this chapter, the housing code applies to all types of housing, including single and multi- family dwellings, rooming houses, dormitories, and temporary housing. Local boards of health are required to enforce all aspects of the housing code, including conducting inspections upon their own initiative or upon request, issuing correction orders, and enforcing compliance. If the board determines that a dwelling has become a nuisance, is unfit for human habitation, or may be a cause of sickness or accident to the occupants or the public, the board may issue a written condemnation order requiring the occupants to vacate, requiring the premises be put in a clean condition, or torn down, and require compliance with the regulations set forth in the code or adopted by the board of health. M.G.L. c. 111, s. 127B. A board must certify violations and enforce the provisions of the Sanitary Code. It may also grant variances in accordance with 105 CMR 410.840.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
REC_005,reporting/notification,no,PART_IV,PART_IV_C,PART_IV_C_p1,"Housing and sanitation standards for farm labor camps for the housing of temporary/migratory farm workers are governed by Chapter III of the State Sanitary Code. 105 CMR 420.000. Farm labor camp regulations are enforced by the State Department of Public Health, but local boards may be notified concerning farm labor camp issues in their community.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
REC_006,reporting/notification,yes,PART_IV,PART_IV_D,PART_IV_D_p1,"Chapter IV of the State Sanitary Code, 105 CMR 430.000: Minimum Standards for Recreational Camps for Children (State Code, Chapter IV), sets forth the minimum housing, health, safety and sanitary protection standards for children in the care of recreational camps operating in the Commonwealth. Recreational camps for children must be licensed by local boards of health in order to operate. M.G.L. c.140 s.32B. Certain types of recreational programs are exempt (see definition of recreational camp for children in 105 CMR 430.020 for list of exemptions). A board of health must inspect each camp facility before granting a license for the upcoming year. The Department of Environmental Protection must be notified of the grant of such license so that they may inspect both water and sanitary facilities. Boards have the authority to grant variances. Variances must be submitted to the Department of Public Health, but are not subject to Department approval. Local boards have the authority to adopt, alter or amend rules and regulations to enforce M.G.L. c.140 s.32B, provided that they do not conflict with the State Sanitary Code.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
REC_007,,no,PART_IV,PART_IV_G,PART_IV_G_p1,"Chapter VII of the State Sanitary Code, 105 CMR 445.000: Minimum Standards for Public Bathing Beaches (State Sanitary Code, Chapter VII), sets forth minimum requirements for the operation of bathing beaches in the Commonwealth. These regulations are authorized by the State Sanitary Code as well as, M.G.L. c. 111, s. 5S. These regulations apply to state and local agencies as well as beaches operated by semi-public operators (e.g., motel, country club, or neighborhood association beaches), but not to privately owned beaches. Private beaches are those that are not considered public or semi-public beaches, as defined in 105 CMR 445.010. The purposes of these regulations are to protect the health, safety and well-being of the users of bathing beaches, to establish acceptable standards for bathing water quality, and to establish procedures for informing the public of any bathing water closures. Boards of health must license beaches pursuant to M.G.L. c. 111, s. 5S, and the bathing beach regulations. A board of health may grant variances to 105 CMR 445.000 for any beach not operated by the Commonwealth subject to Department approval. All variances granted or denied by a board of health must be made in writing and shall be posted 30 days following its issuance. Approval is presumed if the Department does not respond within 45 days.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
REC_008,reporting/notification,no,PART_IV,PART_IV_H,PART_IV_H_p1,"Chapter VIII of the State Sanitary Code, 105 CMR 480.000: Minimum Requirements for the Management of Medical or Biological Waste (State Sanitary Code, Chapter VIII), sets forth the minimum requirements for the storage, treatment, disposal and transportation of medical or biological waste. The purpose of the regulations is to safeguard the public and workers from potential health risks associated with the improper storage, management, treatment, and disposal of medical and biological waste. The regulations specify the requirements to store medical or biological waste prior to treatment or shipment off-site for treatment. As authorized by M.G.L. c. 94C, s. 27A, agencies as well as businesses may establish sharps collection centers. Standards for the collection and management of sharps by sharps collection centers are set forth in 105 CMR 480.135. In addition, the regulations specify approved disinfection methods, disposal options, packaging, labeling and shipping requirements, and tracking and documentation procedures. Except for medical waste generated in a licensed health care facility, a board has the authority to inspect facilities that generate medical or biological waste as is necessary for the protection of the public health. In a community that collects and manages home sharps, the board must inspect all sharps collection centers and kiosks prior to operation. The board must notify the department within thirty days of inspection of the location and address of the sharps collection centers and kiosks. M.G.L. c. 94c, s. 27A. Boards may also enforce these regulations through their authority to abate nuisances.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
REC_009,,no,PART_IV,PART_IV_I,PART_IV_I_p2,"Boards are responsible for inspecting retail food establishments, issuing orders, and under certain circumstances suspending, revoking or not renewing permits or denying an application for an initial permit. Specific grounds for these enforcement actions are found at 105 CMR 590.012. Boards may use ticketing procedures in the enforcement of sanitation standards if the municipality has adopted M.G.L. c. 40, s. 21D as an ordinance or by-law. Food inspectors should be well trained and knowledgeable. Knowledgeable is evidenced by taking a food safety inspection training course accredited by DPH and passing a professional food safety test tested based on such training or by being a registered sanitarian or certified health officer who has completed food safety training recognized by DPH. Training and continuing education is available through the Massachusetts Health Officers Association. At the time a permit is initially issued, the local board of health should provide the permit holder with instructions for how to obtain a copy of 105 CMR 590.000 as well as a copy of the federal 1999 Food Code so that the permit holder is on notice of compliance requirements and the conditions that must be met for retention of the permit.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
REC_010,reporting/notification,yes,PART_IV,PART_IV_J,PART_IV_J_p1,"Chapter XI of the State Sanitary Code, 105 CMR 675.000: Requirements to Maintain Air Quality in Indoor Skating Rinks (State Sanitary Code, Chapter XI), describes requirements to ensure the maintenance of safe and appropriate indoor air quality in ice skating rinks that utilize ice resurfacing equipment powered by combustible fuels which produce carbon monoxide or nitrogen dioxide. The purpose of the regulations is to prevent adverse health effects, particularly to children, from exposure to combustion products in enclosed indoor ice rinks. Local boards are responsible for enforcing 105 CMR 675.000, except with regard to state operated facilities. A board may revoke or suspend a certificate with notice for failure to comply with 105 CMR 675.000. Boards may also grant variances.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
