citation_id,citation_text,citation_type,code,chapter_or_title,source_document
CIT_105_CMR_123_000,105 CMR 123.000,CMR regulation,CMR,105 CMR 123,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_300_000,105 CMR 300.000,CMR regulation,CMR,105 CMR 300,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_300_100,105 CMR 300.100,CMR regulation,CMR,105 CMR 300,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_300_131,105 CMR 300.131,CMR regulation,CMR,105 CMR 300,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_300_200,105 CMR 300.200,CMR regulation,CMR,105 CMR 300,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_335_000,105 CMR 335.000,CMR regulation,CMR,105 CMR 335,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_365_000,105 CMR 365.000,CMR regulation,CMR,105 CMR 365,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_400_000,105 CMR 400.000,CMR regulation,CMR,105 CMR 400,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_400_200_B,105 CMR 400.200(B),CMR regulation,CMR,105 CMR 400,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_410_000,105 CMR 410.000,CMR regulation,CMR,105 CMR 410,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_410_840,105 CMR 410.840,CMR regulation,CMR,105 CMR 410,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_420_000,105 CMR 420.000,CMR regulation,CMR,105 CMR 420,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_430_000,105 CMR 430.000,CMR regulation,CMR,105 CMR 430,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_430_020,105 CMR 430.020,CMR regulation,CMR,105 CMR 430,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_435_000,105 CMR 435.000,CMR regulation,CMR,105 CMR 435,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_440_000,105 CMR 440.000,CMR regulation,CMR,105 CMR 440,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_445_000,105 CMR 445.000,CMR regulation,CMR,105 CMR 445,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
CIT_105_CMR_445_010,105 CMR 445.010,CMR regulation,CMR,105 CMR 445,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
