boardpower_id,power_type,modality,part_id,section_id,provision_id,text,source_document
POWER_001,power,may,PART_II,PART_II_A,PART_II_A_p1,"Boards of Health, in Towns, may be appointed by the Selectmen or the Selectmen can act as a Board of Health.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_002,power,may,PART_II,PART_II_B,PART_II_B_p1,"Boards of health and municipal health departments may form a district to jointly hire a health officer, assistants and clerks who serve more than one municipality.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_003,duty,must,PART_III,PART_III_A,PART_III_A_p1,"If a board of health receives notice of the existence of a dangerous disease in its jurisdiction, it must report such case to DPH within twenty-four hours, M.G.L. c. 111, s. 112-113.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_004,duty,must,PART_III,PART_III_A,PART_III_A_p1,"Boards of health must maintain records of such reports and forward copies to local school committees as well as other local boards within the jurisdiction of where the disease exists. M.G.L. c.111, s.113.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_005,duty,required,PART_III,PART_III_A,PART_III_A_p1,"Nurses caring for infants must report to Boards of Health any inflammation, swelling, redness or unnatural discharge from the eyes of an infant less than two weeks old, and the Board of Health is required to take immediate action to prevent blindness. M.G.L. c. 111, s. 110.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_006,duty,must,PART_III,PART_III_A,PART_III_A_p1,Boards must submit an annual report of these cases to the Department of Public Health.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_007,duty,must,PART_III,PART_III_A,PART_III_A_p1,"Boards collect reports of food poisoning, which must be reported to the Department of Public Health. 105 CMR 300.100, 105 CMR 300.131.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_008,duty,must,PART_III,PART_III_A,PART_III_A_p1,"Boards receive reports of inspections by the Division of Occupational Safety regarding violations of health laws or nuisances in industrial establishments. Local boards must investigate these reports and enforce appropriate laws. M.G.L. c.149, s.136.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_009,duty,must,PART_III,PART_III_B,PART_III_B_p1,Boards of health must provide the following services to the community:,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_010,power,may,PART_III,PART_III_C,PART_III_C_p1,"Boards may direct the operation of, and adopt rules for, city and town dental and medical health clinics. M.G.L. c. 111, s. 50.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_011,power,may,PART_III,PART_III_C,PART_III_C_p1,Boards may establish one or more hospitals for the reception of individuals with diseases dangerous to public health.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_012,power,may,PART_III,PART_III_D,PART_III_D_p1,"Boards may direct the isolation and quarantine of individuals, animals, and property relative to communicable disease and maintain isolation hospitals to prevent the spread of infection.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_013,power,may,PART_III,PART_III_E,PART_III_E_p1,Boards may require vaccination of inhabitants of the city or town.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_014,power,may,PART_III,PART_III_F,PART_III_F_p1,"Boards may issue permits for removal of infected dead bodies. M.G.L. c. 111, s. 107.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_015,duty,responsible,PART_IV,,PART_IV_p1,The following is a brief description of each chapter of the State Sanitary Code that boards of health are responsible for enforcing.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_016,duty,required,PART_IV,PART_IV_B,PART_IV_B_p1,"Local boards of health are required to enforce all aspects of the housing code, including conducting inspections upon their own initiative or upon request, issuing correction orders, and enforcing compliance.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_017,power,may,PART_IV,PART_IV_B,PART_IV_B_p1,"If the board determines that a dwelling has become a nuisance, is unfit for human habitation, or may be a cause of sickness or accident to the occupants or the public, the board may issue a written condemnation order requiring the occupants to vacate, requiring the premises be put in a clean condition, or torn down, and require compliance with the regulations set forth in the code or adopted by the board of health.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_018,duty,must,PART_IV,PART_IV_B,PART_IV_B_p1,A board must certify violations and enforce the provisions of the Sanitary Code.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_019,power,may,PART_IV,PART_IV_C,PART_IV_C_p1,"Farm labor camp regulations are enforced by the State Department of Public Health, but local boards may be notified concerning farm labor camp issues in their community.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_020,duty,must,PART_IV,PART_IV_D,PART_IV_D_p1,A board of health must inspect each camp facility before granting a license for the upcoming year.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_021,duty,required,PART_IV,PART_IV_E,PART_IV_E_p1,"It does not apply to private residential pools. Boards of health are required to inspect and issue annual permits to operate a swimming, wading or special purpose pool.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_022,power,may,PART_IV,PART_IV_E,PART_IV_E_p1,Boards may grant variances to 105 CMR 435.000 subject to Department approval.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_023,power,may,PART_IV,PART_IV_E,PART_IV_E_p1,"Except in cases of emergencies, no variance approved by a board may go into effect until the Department has approved it, or after 30 days if the Department fails to comment on the variance.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_024,power,may,PART_IV,PART_IV_F,PART_IV_F_p1,"Chapter VI of the State Sanitary Code, 105 CMR 440.000: Minimum Standards for Developed Family Type Camp Grounds (State Sanitary Code, Chapter VI), provides minimum health and safety standards for camp ground facilities used for recreational camping or group activities. Boards of health license family type campgrounds pursuant to M.G.L. c.140 s.32B, and the Family Type Camp Ground regulations. A board may grant variances to105 CMR 440.000 subject to Department approval.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_025,power,may,PART_IV,PART_IV_F,PART_IV_F_p1,"Except in cases of emergencies, no variance approved by a board may go into effect until the Department of Public Health has approved it, or after 30 days if the Department fails to comment on the variance.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_026,duty,must,PART_IV,PART_IV_G,PART_IV_G_p1,"The purposes of these regulations are to protect the health, safety and well-being of the users of bathing beaches, to establish acceptable standards for bathing water quality, and to establish procedures for informing the public of any bathing water closures. Boards of health must license beaches pursuant to M.G.L. c. 111, s. 5S, and the bathing beach regulations. A board of health may grant variances to 105 CMR 445.000 for any beach not operated by the Commonwealth subject to Department approval.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_027,duty,must,PART_IV,PART_IV_G,PART_IV_G_p1,All variances granted or denied by a board of health must be made in writing and shall be posted 30 days following its issuance.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_028,duty,must,PART_IV,PART_IV_H,PART_IV_H_p1,"In a community that collects and manages home sharps, the board must inspect all sharps collection centers and kiosks prior to operation.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_029,duty,must,PART_IV,PART_IV_H,PART_IV_H_p1,"The board must notify the department within thirty days of inspection of the location and address of the sharps collection centers and kiosks. M.G.L. c. 94c, s. 27A.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_030,power,may,PART_IV,PART_IV_H,PART_IV_H_p1,Boards may also enforce these regulations through their authority to abate nuisances.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_031,power,authorized,PART_IV,PART_IV_I,PART_IV_I_p1,"Boards are authorized to issue permits for the operation of retail food establishments, including markets, temporary food events, caterers, food vendors, home kitchens that are part of a bed and breakfast operation, food pantries, and other charitable and/or church operated food events.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_032,duty,responsible,PART_IV,PART_IV_I,PART_IV_I_p2,"Boards are responsible for inspecting retail food establishments, issuing orders, and under certain circumstances suspending, revoking or not renewing permits or denying an application for an initial permit.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_033,power,may,PART_IV,PART_IV_I,PART_IV_I_p2,"Boards may use ticketing procedures in the enforcement of sanitation standards if the municipality has adopted M.G.L. c. 40, s. 21D as an ordinance or by-law.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_034,duty,must,PART_IV,PART_IV_I,PART_IV_I_p2,"At the time a permit is initially issued, the local board of health should provide the permit holder with instructions for how to obtain a copy of 105 CMR 590.000 as well as a copy of the federal 1999 Food Code so that the permit holder is on notice of compliance requirements and the conditions that must be met for retention of the permit.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_035,duty,responsible,PART_IV,PART_IV_J,PART_IV_J_p1,"The purpose of the regulations is to prevent adverse health effects, particularly to children, from exposure to combustion products in enclosed indoor ice rinks. Local boards are responsible for enforcing 105 CMR 675.000, except with regard to state operated facilities. A board may revoke or suspend a certificate with notice for failure to comply with 105 CMR 675.000.","Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
POWER_036,power,may,PART_IV,PART_IV_J,PART_IV_J_p1,Boards may also grant variances.,"Massachusetts Association of Health Boards, Manual of Laws and Regulations Relating to Boards of Health, June 2016 (KB 2/USA/MAHB-updated-Manual-of-Laws-and-Regulations-6.17.16-1.pdf)"
