provision_id,article_number,label,level,text,source_document
ART_1_S1,1,1 introductory wording,unnumbered,This Regulation lays down:,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_1_a,1,1(a),point,rules for the making available on the market of products with digital elements to ensure the cybersecurity of such products;,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_1_b,1,1(b),point,"essential cybersecurity requirements for the design, development and production of products with digital elements, and obligations for economic operators in relation to those products with respect to cybersecurity;",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_1_c,1,1(c),point,"essential cybersecurity requirements for the vulnerability handling processes put in place by manufacturers to ensure the cybersecurity of products with digital elements during the time the products are expected to be in use, and obligations for economic operators in relation to those processes;",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_1_d,1,1(d),point,"rules on market surveillance, including monitoring, and enforcement of the rules and requirements referred to in this Article.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_2_P1,2,2(1),paragraph,"This Regulation applies to products with digital elements made available on the market, the intended purpose or reasonably foreseeable use of which includes a direct or indirect logical or physical data connection to a device or network.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_2_P2,2,2(2),paragraph,This Regulation does not apply to products with digital elements to which the following Union legal acts apply:,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_2_P2_a,2,2(2)(a),point,Regulation (EU) 2017/745;,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_2_P2_b,2,2(2)(b),point,Regulation (EU) 2017/746;,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_2_P2_c,2,2(2)(c),point,Regulation (EU) 2019/2144.,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_2_P3,2,2(3),paragraph,This Regulation does not apply to products with digital elements that have been certified in accordance with Regulation (EU) 2018/1139.,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_2_P4,2,2(4),paragraph,This Regulation does not apply to equipment that falls within the scope of Directive 2014/90/EU of the European Parliament and of the Council (36).,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_2_P5,2,2(5),paragraph,The application of this Regulation to products with digital elements covered by other Union rules laying down requirements that address all or some of the risks covered by the essential cybersecurity requirements set out in Annex I may be limited or excluded where:,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_2_P5_a,2,2(5)(a),point,such limitation or exclusion is consistent with the overall regulatory framework that applies to those products; and,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_2_P5_b,2,2(5)(b),point,the sectoral rules achieve the same or a higher level of protection as that provided for by this Regulation.,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_2_P5_S1,2,2(5) subparagraph 1,subparagraph,"The Commission is empowered to adopt delegated acts in accordance with Article 61 to supplement this Regulation by specifying whether such limitation or exclusion is necessary, the products and rules concerned, as well as the scope of the limitation, if relevant.",KB 2/Europe/EU Cyber Resilience Act.pdf
ART_2_P6,2,2(6),paragraph,This Regulation does not apply to spare parts that are made available on the market to replace identical components in products with digital elements and that are manufactured according to the same specifications as the components that they are intended to replace.,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_2_P7,2,2(7),paragraph,This Regulation does not apply to products with digital elements developed or modified exclusively for national security or defence purposes or to products specifically designed to process classified information.,KB 2/Europe/EU Cyber Resilience Act.pdf
ART_2_P8,2,2(8),paragraph,"The obligations laid down in this Regulation shall not entail the supply of information the disclosure of which would be contrary to the essential interests of Member States’ national security, public security or defence.",KB 2/Europe/EU Cyber Resilience Act.pdf
