penalty_id,max_administrative_fine,max_share_of_turnover,source_provision,text,source_document
PEN_1,EUR 15 000 000,"2,5 %",64(2),"Non-compliance with the essential cybersecurity requirements set out in Annex I and the obligations set out in Articles 13 and 14 shall be subject to administrative fines of up to EUR 15 000 000 or, if the offender is an undertaking, up to 2,5 % of the its total worldwide annual turnover for the preceding financial year, whichever is higher.",KB 2/Europe/EU Cyber Resilience Act.pdf
PEN_2,EUR 10 000 000,2 %,64(3),"Non-compliance with the obligations set out in Articles 18 to 23, Article 28, Article 30(1) to (4), Article 31(1) to (4), Article 32(1), (2) and (3), Article 33(5), and Articles 39, 41, 47, 49 and 53 shall be subject to administrative fines of up to EUR 10 000 000 or, if the offender is an undertaking, up to 2 % of its total worldwide annual turnover for the preceding financial year, whichever is higher.",KB 2/Europe/EU Cyber Resilience Act.pdf
PEN_3,EUR 5 000 000,1 %,64(4),"The supply of incorrect, incomplete or misleading information to notified bodies and market surveillance authorities in reply to a request shall be subject to administrative fines of up to EUR 5 000 000 or, if the offender is an undertaking, up to 1 % of its total worldwide annual turnover for the preceding financial year, whichever is higher.",KB 2/Europe/EU Cyber Resilience Act.pdf
