source_id,target_id,rel_type,citation
ART_2_P5_S1,ART_61,REFERENCES_ARTICLE,Article 61
ART_3_S30,ART_43,REFERENCES_ARTICLE,Article 43
ART_7_P1,ART_32,REFERENCES_ARTICLE,Article 32(2)
ART_7_P3,ART_61,REFERENCES_ARTICLE,Article 61
ART_7_P3_S1,ART_32,REFERENCES_ARTICLE,Article 32(2)
ART_7_P4,ART_62,REFERENCES_ARTICLE,Article 62(2)
ART_8_P1,ART_61,REFERENCES_ARTICLE,Article 61
ART_8_P1_S1,ART_32,REFERENCES_ARTICLE,Article 32(3)
ART_8_P2,ART_61,REFERENCES_ARTICLE,Article 61
ART_8_P2,ART_7,REFERENCES_ARTICLE,Article 7(2)
ART_9_P1_a,ART_26,REFERENCES_ARTICLE,Article 26
ART_9_P1_b,ART_7,REFERENCES_ARTICLE,Article 7(4)
ART_9_P1_b,ART_8,REFERENCES_ARTICLE,Article 8(2)
ART_9_P1_b,ART_61,REFERENCES_ARTICLE,Article 61
ART_12_P2,ART_39,REFERENCES_ARTICLE,Article 39
ART_12_P3,ART_32,REFERENCES_ARTICLE,Article 32(2)
ART_12_P3,ART_8,REFERENCES_ARTICLE,Article 8(1)
ART_13_P4,ART_31,REFERENCES_ARTICLE,Article 31
ART_13_P4,ART_12,REFERENCES_ARTICLE,Article 12
ART_13_P8_S1,ART_52,REFERENCES_ARTICLE,Article 52(15)
ART_13_P8_S3,ART_52,REFERENCES_ARTICLE,Article 52(16)
ART_13_P8_S3,ART_61,REFERENCES_ARTICLE,Article 61
ART_13_P12,ART_31,REFERENCES_ARTICLE,Article 31
ART_13_P12_S1,ART_32,REFERENCES_ARTICLE,Article 32
ART_13_P12_S2,ART_28,REFERENCES_ARTICLE,Article 28
ART_13_P12_S2,ART_30,REFERENCES_ARTICLE,Article 30
ART_13_P14,ART_27,REFERENCES_ARTICLE,Article 27
ART_13_P24,ART_62,REFERENCES_ARTICLE,Article 62(2)
ART_14_P1,ART_16,REFERENCES_ARTICLE,Article 16
ART_14_P3,ART_16,REFERENCES_ARTICLE,Article 16
ART_14_P7,ART_16,REFERENCES_ARTICLE,Article 16
ART_14_P9,ART_61,REFERENCES_ARTICLE,Article 61
ART_14_P9,ART_16,REFERENCES_ARTICLE,Article 16(2)
ART_14_P10,ART_62,REFERENCES_ARTICLE,Article 62(2)
ART_15_P3,ART_16,REFERENCES_ARTICLE,Article 16
ART_16_P1,ART_14,REFERENCES_ARTICLE,Article 14(1)
ART_16_P1,ART_15,REFERENCES_ARTICLE,Article 15(1)
ART_16_P2_S1,ART_14,REFERENCES_ARTICLE,"Article 14(2), point (a)"
ART_16_P2_S2,ART_14,REFERENCES_ARTICLE,"Article 14(2), point (b)"
ART_17_P1,ART_14,REFERENCES_ARTICLE,Article 14(1)
ART_17_P1,ART_15,REFERENCES_ARTICLE,Article 15(1)
ART_17_P3,ART_14,REFERENCES_ARTICLE,Article 14(1)
ART_17_P3,ART_15,REFERENCES_ARTICLE,Article 15(1)
ART_17_P4,ART_14,REFERENCES_ARTICLE,Article 14(1)
ART_17_P4,ART_15,REFERENCES_ARTICLE,Article 15(1)
ART_17_P5,ART_14,REFERENCES_ARTICLE,Article 14(1)
ART_17_P5,ART_15,REFERENCES_ARTICLE,Article 15(1)
ART_17_P6,ART_14,REFERENCES_ARTICLE,Article 14
ART_18_P2,ART_13,REFERENCES_ARTICLE,Article 13(1)
ART_18_P3_a,ART_28,REFERENCES_ARTICLE,Article 28
ART_18_P3_a,ART_31,REFERENCES_ARTICLE,Article 31
ART_19_P2_a,ART_32,REFERENCES_ARTICLE,Article 32
ART_19_P2_c,ART_30,REFERENCES_ARTICLE,Article 30
ART_19_P2_c,ART_13,REFERENCES_ARTICLE,Article 13(20)
ART_19_P2_d,ART_13,REFERENCES_ARTICLE,Article 13(15)
ART_19_P3_S1,ART_54,REFERENCES_ARTICLE,Article 54(2)
ART_20_P2_b,ART_13,REFERENCES_ARTICLE,Article 13(15)
ART_20_P2_b,ART_19,REFERENCES_ARTICLE,Article 19(4)
ART_24_P1,ART_15,REFERENCES_ARTICLE,Article 15
ART_24_P3,ART_14,REFERENCES_ARTICLE,Article 14(1)
ART_25_S1,ART_13,REFERENCES_ARTICLE,Article 13(5)
ART_25_S1,ART_61,REFERENCES_ARTICLE,Article 61
ART_27_P2_S2,ART_62,REFERENCES_ARTICLE,Article 62(2)
ART_27_P9,ART_61,REFERENCES_ARTICLE,Article 61
ART_27_P9,ART_32,REFERENCES_ARTICLE,Article 32(2)
ART_28_P1,ART_13,REFERENCES_ARTICLE,Article 13(12)
ART_28_P2_S1,ART_13,REFERENCES_ARTICLE,Article 13(20)
ART_28_P5,ART_61,REFERENCES_ARTICLE,Article 61
ART_30_P1,ART_28,REFERENCES_ARTICLE,Article 28
ART_30_P4,ART_32,REFERENCES_ARTICLE,Article 32
ART_30_P6,ART_52,REFERENCES_ARTICLE,Article 52(15)
ART_30_P6,ART_62,REFERENCES_ARTICLE,Article 62(2)
ART_31_P3,ART_12,REFERENCES_ARTICLE,Article 12
ART_31_P5,ART_61,REFERENCES_ARTICLE,Article 61
ART_32_P1_d,ART_27,REFERENCES_ARTICLE,Article 27(9)
ART_32_P2,ART_27,REFERENCES_ARTICLE,Article 27
ART_32_P3_c,ART_27,REFERENCES_ARTICLE,Article 27(9)
ART_32_P4_a,ART_8,REFERENCES_ARTICLE,Article 8(1)
ART_32_P4_b,ART_8,REFERENCES_ARTICLE,Article 8(1)
ART_32_P5,ART_31,REFERENCES_ARTICLE,Article 31
ART_33_P3,ART_26,REFERENCES_ARTICLE,Article 26
ART_33_P5_S1,ART_62,REFERENCES_ARTICLE,Article 62(2)
ART_34_S1,ART_21,REFERENCES_ARTICLE,Article 21
ART_36_P1,ART_41,REFERENCES_ARTICLE,Article 41
ART_36_P3,ART_37,REFERENCES_ARTICLE,Article 37
ART_39_P11,ART_51,REFERENCES_ARTICLE,Article 51
ART_40_S1,ART_39,REFERENCES_ARTICLE,Article 39
ART_41_P1,ART_39,REFERENCES_ARTICLE,Article 39
ART_42_P2,ART_39,REFERENCES_ARTICLE,Article 39
ART_42_P3,ART_39,REFERENCES_ARTICLE,Article 39
ART_43_P1,ART_39,REFERENCES_ARTICLE,Article 39
ART_43_P4,ART_42,REFERENCES_ARTICLE,Article 42(2)
ART_43_P4,ART_39,REFERENCES_ARTICLE,Article 39
ART_45_P1,ART_39,REFERENCES_ARTICLE,Article 39
ART_47_P1,ART_32,REFERENCES_ARTICLE,Article 32
ART_47_P4,ART_27,REFERENCES_ARTICLE,Article 27
ART_52_P3,ART_24,REFERENCES_ARTICLE,Article 24
ART_52_P4,ART_14,REFERENCES_ARTICLE,Article 14
ART_52_P5,ART_54,REFERENCES_ARTICLE,Article 54
ART_52_P14,ART_14,REFERENCES_ARTICLE,Article 14
ART_52_P16,ART_13,REFERENCES_ARTICLE,Article 13(8)
ART_52_P16_S1,ART_13,REFERENCES_ARTICLE,Article 13(8)
ART_54_P6_b,ART_27,REFERENCES_ARTICLE,Article 27
ART_55_P1,ART_54,REFERENCES_ARTICLE,Article 54(5)
ART_55_P4,ART_27,REFERENCES_ARTICLE,Article 27
ART_55_P5,ART_27,REFERENCES_ARTICLE,Article 27
ART_56_P5,ART_62,REFERENCES_ARTICLE,Article 62(2)
ART_57_P1,ART_54,REFERENCES_ARTICLE,Article 54
ART_57_P6,ART_54,REFERENCES_ARTICLE,Article 54
ART_57_P9,ART_62,REFERENCES_ARTICLE,Article 62(2)
ART_60_P3,ART_14,REFERENCES_ARTICLE,Article 14(1)
ART_61_P2,ART_2,REFERENCES_ARTICLE,Article 2(5)
ART_61_P2,ART_7,REFERENCES_ARTICLE,Article 7(3)
ART_61_P2,ART_8,REFERENCES_ARTICLE,Article 8(1)
ART_61_P2,ART_13,REFERENCES_ARTICLE,Article 13(8)
