annexprovision_id,annex,part,label,level,text,source_document
ANNEX_VIII_PartIV_3_3_2_d,VIII,Part IV,(d),sub-point,"the design and development control, as well as design and development verification techniques, processes and systematic actions that will be used when designing and developing the products with digital elements pertaining to the product category covered;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_3_3_2_e,VIII,Part IV,(e),sub-point,"the corresponding production, quality control and quality assurance techniques, processes and systematic actions that will be used;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_3_3_2_f,VIII,Part IV,(f),sub-point,"the examinations and tests that will be carried out before, during and after production, and the frequency with which they will be carried out;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_3_3_2_g,VIII,Part IV,(g),sub-point,"the quality records, such as inspection reports and test data, calibration data and qualification reports on the personnel concerned;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_3_3_2_h,VIII,Part IV,(h),sub-point,the means of monitoring the achievement of the required design and product quality and the effective operation of the quality system.,KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_3_3_3,VIII,Part IV,3.3,sub-point,"The notified body shall assess the quality system to determine whether it satisfies the requirements referred to in point 3.2. It shall presume conformity with those requirements in respect of the elements of the quality system that comply with the corresponding specifications of the national standard that implements the relevant harmonised standard or technical specification. In addition to experience in quality management systems, the auditing team shall have at least one member experienced as an assessor in the relevant product field and product technology concerned, and shall have knowledge of the applicable requirements set out in this Regulation. The audit shall include an assessment visit to the manufacturer’s premises, where such premises exist. The auditing team shall review the technical documentation referred to in point 3.1 (b), to verify the manufacturer’s ability to identify the applicable requirements set out in this Regulation and to carry out the necessary examinations with a view to ensuring compliance of the product with digital elements with those requirements. The manufacturer or its authorised representative shall be notified of the decision. The notification shall contain the conclusions of the audit and the reasoned assessment decision.",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_3_3_4,VIII,Part IV,3.4,sub-point,The manufacturer shall undertake to fulfil the obligations arising out of the quality system as approved and to maintain it so that it remains adequate and efficient.,KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_3_3_5,VIII,Part IV,3.5,sub-point,The manufacturer shall keep the notified body that has approved the quality system informed of any intended change to the quality system. The notified body shall evaluate any proposed changes and decide whether the modified quality system will continue to satisfy the requirements referred to in point 3.2 or whether a reassessment is necessary. It shall notify the manufacturer of its decision. The notification shall contain the conclusions of the examination and the reasoned assessment decision.,KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_4,VIII,Part IV,4,point,Surveillance under the responsibility of the notified body,KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_4_4_1,VIII,Part IV,4.1,sub-point,The purpose of surveillance is to make sure that the manufacturer duly fulfils the obligations arising out of the approved quality system.,KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_4_4_2,VIII,Part IV,4.2,sub-point,"The manufacturer shall, for assessment purposes, allow the notified body access to the design, development, production, inspection, testing and storage sites, and shall provide it with all necessary information, in particular:",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_4_4_2_a,VIII,Part IV,(a),sub-point,the quality system documentation;,KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_4_4_2_b,VIII,Part IV,(b),sub-point,"the quality records as provided for by the design part of the quality system, such as results of analyses, calculations and tests;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_4_4_2_c,VIII,Part IV,(c),sub-point,"the quality records as provided for by the manufacturing part of the quality system, such as inspection reports and test data, calibration data and qualification reports on the personnel concerned.",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_4_4_3,VIII,Part IV,4.3,sub-point,The notified body shall carry out periodic audits to make sure that the manufacturer maintains and applies the quality system and shall provide the manufacturer with an audit report.,KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_5,VIII,Part IV,5,point,Conformity marking and declaration of conformity,KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_5_5_1,VIII,Part IV,5.1,sub-point,"The manufacturer shall affix the CE marking, and, under the responsibility of the notified body referred to in point 3.1, the latter’s identification number to each individual product with digital elements that satisfies the requirements set out in Part I of Annex I.",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_5_5_2,VIII,Part IV,5.2,sub-point,"The manufacturer shall draw up a written declaration of conformity for each product model and keep it at the disposal of the national authorities for 10 years after the product with digital elements has been placed on the market or for the support period, whichever is longer. The declaration of conformity shall identify the product model for which it has been drawn up. A copy of the declaration of conformity shall be made available to the relevant authorities upon request.",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_6,VIII,Part IV,6,point,"The manufacturer shall, for a period ending at least 10 years after the product with digital elements has been placed on the market or for the support period, whichever is longer, keep at the disposal of the national authorities:",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_6_a,VIII,Part IV,(a),sub-point,the technical documentation referred to in point 3.1;,KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_6_b,VIII,Part IV,(b),sub-point,the documentation concerning the quality system referred to in point 3.1;,KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_6_c,VIII,Part IV,(c),sub-point,"the change referred to in point 3.5, as approved;",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_6_d,VIII,Part IV,(d),sub-point,the decisions and reports of the notified body referred to in points 3.5 and 4.3.,KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_7,VIII,Part IV,7,point,"Each notified body shall inform its notifying authorities of quality system approvals issued or withdrawn, and shall, periodically or upon request, make available to its notifying authorities the list of quality system approvals refused, suspended or otherwise restricted. Each notified body shall inform the other notified bodies of quality system approvals which it has refused, suspended or withdrawn, and, upon request, of quality system approvals which it has issued.",KB 2/Europe/EU Cyber Resilience Act.pdf
ANNEX_VIII_PartIV_8,VIII,Part IV,8,point,"Authorised representative The manufacturer’s obligations set out in points 3.1, 3.5, 5 and 6 may be fulfilled by its authorised representative, on its behalf and under its responsibility, provided that the relevant obligations are specified in the mandate. A statement has been made with regard to this act and can be found in OJ C, 2024/6786, 20.11.2024, ELI: http://data. europa.eu/eli/C/2024/6786/oj.",KB 2/Europe/EU Cyber Resilience Act.pdf
