definition_id,number,term,definition_text,full_text,defined_in,source_document
DEF_1,1,product with digital elements,"a software or hardware product and its remote data processing solutions, including software or hardware components being placed on the market separately","(1) ‘product with digital elements’ means a software or hardware product and its remote data processing solutions, including software or hardware components being placed on the market separately;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_2,2,remote data processing,"data processing at a distance for which the software is designed and developed by the manufacturer, or under the responsibility of the manufacturer, and the absence of which would prevent the product with digital elements from performing one of its functions","(2) ‘remote data processing’ means data processing at a distance for which the software is designed and developed by the manufacturer, or under the responsibility of the manufacturer, and the absence of which would prevent the product with digital elements from performing one of its functions;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_3,3,cybersecurity,"cybersecurity as defined in Article 2, point (1), of Regulation (EU) 2019/881","(3) ‘cybersecurity’ means cybersecurity as defined in Article 2, point (1), of Regulation (EU) 2019/881;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_4,4,software,the part of an electronic information system which consists of computer code,(4) ‘software’ means the part of an electronic information system which consists of computer code;,Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_5,5,hardware,"a physical electronic information system, or parts thereof capable of processing, storing or transmitting digital data","(5) ‘hardware’ means a physical electronic information system, or parts thereof capable of processing, storing or transmitting digital data;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_6,6,component,software or hardware intended for integration into an electronic information system,(6) ‘component’ means software or hardware intended for integration into an electronic information system;,Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_7,7,electronic information system,"a system, including electrical or electronic equipment, capable of processing, storing or transmitting digital data","(7) ‘electronic information system’ means a system, including electrical or electronic equipment, capable of processing, storing or transmitting digital data;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_8,8,logical connection,a virtual representation of a data connection implemented through a software interface,(8) ‘logical connection’ means a virtual representation of a data connection implemented through a software interface;,Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_9,9,physical connection,"a connection between electronic information systems or components implemented using physical means, including through electrical, optical or mechanical interfaces, wires or radio waves","(9) ‘physical connection’ means a connection between electronic information systems or components implemented using physical means, including through electrical, optical or mechanical interfaces, wires or radio waves;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
DEF_10,10,indirect connection,"a connection to a device or network, which does not take place directly but rather as part of a larger system that is directly connectable to such device or network","(10) ‘indirect connection’ means a connection to a device or network, which does not take place directly but rather as part of a larger system that is directly connectable to such device or network;",Article 3,KB 2/Europe/EU Cyber Resilience Act.pdf
