source_id,target_id,rel_type,citation
ART_2_P5,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_3_S21,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_3_S28,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_3_S31,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_3_S32,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_3_S33,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_5_P2,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_6_a,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_6_b,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_7_P1,ANNEX_III,REFERENCES_ANNEX,Annex III
ART_7_P2,ANNEX_III,REFERENCES_ANNEX,Annex III
ART_7_P3,ANNEX_III,REFERENCES_ANNEX,Annex III
ART_7_P3_S1,ANNEX_III,REFERENCES_ANNEX,Annex III
ART_7_P4,ANNEX_III,REFERENCES_ANNEX,Annex III
ART_7_P4,ANNEX_IV,REFERENCES_ANNEX,Annex IV
ART_8_P1,ANNEX_IV,REFERENCES_ANNEX,Annex IV
ART_8_P1,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_8_P1_S1,ANNEX_IV,REFERENCES_ANNEX,Annex IV
ART_8_P2,ANNEX_IV,REFERENCES_ANNEX,Annex IV
ART_9_P1_b,ANNEX_III,REFERENCES_ANNEX,Annex III
ART_12_P1_a,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_12_P1_b,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_12_P2,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_12_P3,ANNEX_III,REFERENCES_ANNEX,Annex III
ART_12_P3,ANNEX_IV,REFERENCES_ANNEX,Annex IV
ART_12_P3,ANNEX_VI,REFERENCES_ANNEX,Annex VI
ART_13_P1,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_13_P3,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_13_P4,ANNEX_VII,REFERENCES_ANNEX,Annex VII
ART_13_P6,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_13_P8,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_13_P8_S4,ANNEX_VII,REFERENCES_ANNEX,Annex VII
ART_13_P8_S5,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_13_P9,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_13_P10,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_13_P12_S2,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_13_P16,ANNEX_II,REFERENCES_ANNEX,Annex II
ART_13_P17_S1,ANNEX_II,REFERENCES_ANNEX,Annex II
ART_13_P18,ANNEX_II,REFERENCES_ANNEX,Annex II
ART_13_P21,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_13_P22,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_13_P24,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_13_P25,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_19_P1,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_19_P2_c,ANNEX_II,REFERENCES_ANNEX,Annex II
ART_19_P7,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_20_P3,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_27_P1,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_27_P1_S1,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_27_P2,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_27_P2_a,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_27_P2_b,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_27_P5,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_27_P7,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_27_P8,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_27_P9,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_28_P1,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_28_P2,ANNEX_V,REFERENCES_ANNEX,Annex V
ART_28_P2,ANNEX_VIII,REFERENCES_ANNEX,Annex VIII
ART_28_P2_S1,ANNEX_VI,REFERENCES_ANNEX,Annex VI
ART_28_P5,ANNEX_V,REFERENCES_ANNEX,Annex V
ART_31_P1,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_31_P1,ANNEX_VII,REFERENCES_ANNEX,Annex VII
ART_31_P3,ANNEX_VII,REFERENCES_ANNEX,Annex VII
ART_31_P5,ANNEX_VII,REFERENCES_ANNEX,Annex VII
ART_32_P1,ANNEX_I,REFERENCES_ANNEX,Annex I
ART_32_P1_a,ANNEX_VIII,REFERENCES_ANNEX,Annex VIII
ART_32_P1_b,ANNEX_VIII,REFERENCES_ANNEX,Annex VIII
