schedule_id,number,title,authority_reference,source_document
SCH-1,1,"Principles Set Out in the National Standard of Canada Entitled Model Code for the Protection of Personal Information, CAN/CSA-Q830-96",Section 5,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH-2,2,Acts of Parliament,"Sections 38 to 47, 49 and 51",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH-3,3,Regulations and Other Instruments,"Sections 38 to 47, 49 and 51",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH-4,4,Organizations,Subsection 4(1.1) and paragraph 26(2)(c),KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
