penalty_id,section_id,paragraph_id,offence_type,maximum_fine,text,source_document
PEN-28(a),S-28,S-28(a),summary conviction,"$10,000","an offence punishable on summary conviction and liable to a fine not exceeding $10,000; or",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
PEN-28(b),S-28,S-28(b),indictable offence,"$100,000","an indictable offence and liable to a fine not exceeding $100,000.",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
