principle_id,number,heading,name,text,schedule_id,source_document
SCH1-4.1,4.1,Principle 1 — Accountability,Accountability,An organization is responsible for personal information under its control and shall designate an individual or individuals who are accountable for the organization’s compliance with the following principles.,SCH-1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH1-4.2,4.2,Principle 2 — Identifying Purposes,Identifying Purposes,The purposes for which personal information is collected shall be identified by the organization at or before the time the information is collected.,SCH-1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH1-4.3,4.3,Principle 3 - Consent,Consent,"The knowledge and consent of the individual are required for the collection, use, or disclosure of personal information, except where inappropriate.",SCH-1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH1-4.4,4.4,Principle 4 — Limiting Collection,Limiting Collection,The collection of personal information shall be limited to that which is necessary for the purposes identified by the organization. Information shall be collected by fair and lawful means.,SCH-1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH1-4.5,4.5,"Principle 5 —Limiting Use, Disclosure, and Retention","Limiting Use, Disclosure, and Retention","Personal information shall not be used or disclosed for purposes other than those for which it was collected, except with the consent of the individual or as required by law. Personal information shall be retained only as long as necessary for the fulfilment of those purposes.",SCH-1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH1-4.6,4.6,Principle 6 — Accuracy,Accuracy,"Personal information shall be as accurate, complete, and up-to-date as is necessary for the purposes for which it is to be used.",SCH-1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH1-4.7,4.7,Principle 7 — Safeguards,Safeguards,Personal information shall be protected by security safeguards appropriate to the sensitivity of the information.,SCH-1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH1-4.8,4.8,Principle 8 — Openness,Openness,An organization shall make readily available to individuals specific information about its policies and practices relating to the management of personal information.,SCH-1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH1-4.9,4.9,Principle 9 — Individual Access,Individual Access,"Upon request, an individual shall be informed of the existence, use, and disclosure of his or her personal information and shall be given access to that information. An individual shall be able to challenge the accuracy and completeness of the information and have it amended as appropriate.",SCH-1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH1-4.10,4.10,Principle 10 — Challenging Compliance,Challenging Compliance,An individual shall be able to address a challenge concerning compliance with the above principles to the designated individual or individuals accountable for the organization’s compliance.,SCH-1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
