deadline_id,provision_id,phrase,source_document
DL-1,S-8(3),not later than thirty days after receipt of the request,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-2,S-9(2.3),"Within thirty days after the day on which it is notified under subsection (2.2), the institution or part shall notify the organization whether or not the institution or part objects to the organization complying with the request",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-3,S-10.1(2),as soon as feasible after the organization determines that the breach has occurred,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-4,S-10.1(6),as soon as feasible after the organization determines that the breach has occurred,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-5,S-10.2(2),as soon as feasible after the organization determines that the breach has occurred,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-6,S-11(3),"within six months, or any longer period that the Commissioner allows, after the refusal or after the expiry of the time limit for responding to the request, as the case may be",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-7,S-12.1(4),"within 10 days after they make a request to the Commissioner or the delegate, but nothing precludes the Commissioner or the delegate from again requiring that the record or thing be produced",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-8,S-13(1),"within one year after the day on which a complaint is filed or is initiated by the Commissioner, prepare a report that contains",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-9,S-13(3),without delay,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-10,S-14(2),"within one year after the report or notification is sent or within any longer period that the Court may, either before or after the expiry of that year, allow",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-11,S-17(1),without delay and in a summary way unless the Court considers it inappropriate to do so,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-12,S-17.2(3),"within one year after notification is sent or within any longer period that the Court may, either before or after the expiry of that year, allow",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-13,S-18(3),"within ten days after they make a request to the Commissioner or the delegate, but nothing precludes the Commissioner or the delegate from again requiring that the record or thing be produced",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-14,S-25(1),"within three months after the end of each financial year, submit to Parliament a report concerning the application of this Part, the extent to which the provinces have enacted legislation that is substantially similar to this Part and the application of any such legislation",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-15,S-29(1),"every five years after this Part comes into force, be reviewed by the committee of the House of Commons, or of both Houses of Parliament, that may be designated or established by Parliament for that purpose",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-16,S-29(2),"within a year after the review is undertaken or within any further period that the House of Commons may authorize, submit a report to Parliament that includes a statement of any changes to this Part or its administration that the committee recommends",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-17,S-4.1(2)(c),"within 10 days after the certificate is published in the Canada Gazette, return the information to the organization that provided the information",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-18,S-7(3)(d.4),without delay of the disclosure,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-19,S-7(3)(e),without delay of the disclosure,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-20,S-8(4)(a),for a maximum of thirty days,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-21,S-9(2.2)(a),"without delay, notify the institution or part concerned of the request made by the individual",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-22,S-9(2.4)(b),"without delay, of the refusal",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DL-23,S-15(a),"within the time limited by section 14, for a hearing in respect of any matter described in that section, if the Commissioner has the consent of the complainant",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
