subsection_id,section_id,number,marginal_note,text,amendment_history,source_document
S-2(1),S-2,1,,The definitions in this subsection apply in this Part.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-2(2),S-2,2,Notes in Schedule 1,"In this Part, a reference to clause 4.3 or 4.9 of Schedule 1 does not include a reference to the note that accompanies that clause.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-4(1),S-4,1,,This Part applies to every organization in respect of personal information that,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-4(1.1),S-4,1.1,Application,This Part applies to an organization set out in column 1 of Schedule 4 in respect of personal information set out in column 2.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-4(2),S-4,2,Limit,This Part does not apply to,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-4(3),S-4,3,Other Acts *,"Every provision of this Part applies despite any provision, enacted after this subsection comes into force, of any other Act of Parliament, unless the other Act expressly declares that that provision operates despite the provision of this Part. * [Note: Subsection 4(3) in force January 1, 2001, see SI/ 2000-29.]",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-4.1(1),S-4.1,1,,"If a certificate under section 38.13 or 38.41 of the Canada Evidence Act prohibiting the disclosure of personal information of a specific individual is issued before a complaint is filed by that individual under this Part in respect of a request for access to that information, the provisions of this Part respecting that individual’s right of access to their personal information do not apply to the information that is subject to the certificate.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-4.1(2),S-4.1,2,Certificate following filing of complaint,"Despite any other provision of this Part, if a certificate under section 38.13 or 38.41 of the Canada Evidence Act prohibiting the disclosure of personal information of a specific individual is issued after the filing of a complaint under this Part in relation to a request for access to that information:",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-4.1(3),S-4.1,3,Information not to be disclosed,"The Commissioner and every person acting on behalf or under the direction of the Commissioner, in carrying out their functions under this Part, shall not disclose information subject to a certificate issued under section 38.13 or 38.41 of the Canada Evidence Act, and shall take every reasonable precaution to avoid the disclosure of that information.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-4.1(4),S-4.1,4,Power to delegate,The Commissioner may not delegate the investigation of any complaint relating to information subject to a certificate issued under section 38.13 or 38.41 of the Canada Evidence Act except to one of a maximum of four officers or employees of the Commissioner specifically designated by the Commissioner for the purpose of conducting that investigation.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-5(1),S-5,1,,"Subject to sections 6 to 9, every organization shall comply with the obligations set out in Schedule 1.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-5(2),S-5,2,Meaning of should,"The word should, when used in Schedule 1, indicates a recommendation and does not impose an obligation.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-5(3),S-5,3,Appropriate purposes,"An organization may collect, use or disclose personal information only for purposes that a reasonable person would consider are appropriate in the circumstances.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(1),S-7,1,,"For the purpose of clause 4.3 of Schedule 1, and despite the note that accompanies that clause, an organization may collect personal information without the knowledge or consent of the individual only if",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(2),S-7,2,Use without knowledge or consent,"For the purpose of clause 4.3 of Schedule 1, and despite the note that accompanies that clause, an organization may, without the knowledge or consent of the individual, use personal information only if",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(3),S-7,3,Disclosure without knowledge or consent,"For the purpose of clause 4.3 of Schedule 1, and despite the note that accompanies that clause, an organization may disclose personal information without the knowledge or consent of the individual only if the disclosure is",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(4),S-7,4,Use without consent,"Despite clause 4.5 of Schedule 1, an organization may use personal information for purposes other than those for which it was collected in any of the circumstances set out in subsection (2).",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7(5),S-7,5,Disclosure without consent,"Despite clause 4.5 of Schedule 1, an organization may disclose personal information for purposes other than those for which it was collected in any of the circumstances set out in paragraphs (3)(a) to (h.1).",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7.1(1),S-7.1,1,,The following definitions apply in this section.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7.1(2),S-7.1,2,"Collection of electronic addresses, etc.",Paragraphs 7(1)(a) and (b.1) to (d) and (2)(a) to (c.1) and the exception set out in clause 4.3 of Schedule 1 do not apply in respect of,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7.1(3),S-7.1,3,"Accessing a computer system to collect personal information, etc.",Paragraphs 7(1)(a) to (d) and (2)(a) to (c.1) and the exception set out in clause 4.3 of Schedule 1 do not apply in respect of,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7.2(1),S-7.2,1,,"In addition to the circumstances set out in subsections 7(2) and (3), for the purpose of clause 4.3 of Schedule 1, and despite the note that accompanies that clause, organizations that are parties to a prospective business transaction may use and disclose personal information without the knowledge or consent of the individual if",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7.2(2),S-7.2,2,Completed business transaction,"In addition to the circumstances set out in subsections 7(2) and (3), for the purpose of clause 4.3 of Schedule 1, and despite the note that accompanies that clause, if the business transaction is completed, organizations that are parties to the transaction may use and disclose personal information, which was disclosed under subsection (1), without the knowledge or consent of the individual if",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7.2(3),S-7.2,3,Agreements binding,An organization shall comply with the terms of any agreement into which it enters under paragraph (1)(a) or (2)(a).,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7.2(4),S-7.2,4,Exception,"Subsections (1) and (2) do not apply to a business transaction of which the primary purpose or result is the purchase, sale or other acquisition or disposition, or lease, of personal information.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
