definition_id,term,definition_text,french_term,defined_in_section,part,source_document
DEF-2-alternative-format,alternative format,"alternative format, with respect to personal information, means a format that allows a person with a sensory disability to read or listen to the personal information. (support de substitution)",support de substitution,2,1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-breach-of-security-safeguards,breach of security safeguards,"breach of security safeguards means the loss of, unauthorized access to or unauthorized disclosure of personal information resulting from a breach of an organization’s security safeguards that are referred to in clause 4.7 of Schedule 1 or from a failure to establish those safeguards. (atteinte aux mesures de sécurité)",atteinte aux mesures de sécurité,2,1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-business-contact-information,business contact information,"business contact information means any information that is used for the purpose of communicating or facilitating communication with an individual in relation to their employment, business or profession such as the individual’s name, position name or title, work address, work telephone number, work fax number or work electronic address. (coordonnées d’affaires)",coordonnées d’affaires,2,1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-business-transaction,business transaction,"business transaction includes (a) the purchase, sale or other acquisition or disposition of an organization or a part of an organization, or any of its assets; (b) the merger or amalgamation of two or more organizations; (c) the making of a loan or provision of other financing to an organization or a part of an organization; (d) the creating of a charge on, or the taking of a security interest in or a security on, any assets or securities of an organization; (e) the lease or licensing of any of an organization’s assets; and (f) any other prescribed arrangement between two or more organizations to conduct a business activity. (transaction commerciale)",transaction commerciale,2,1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-commercial-activity,commercial activity,"commercial activity means any particular transaction, act or conduct or any regular course of conduct that is of a commercial character, including the selling, bartering or leasing of donor, membership or other fundraising lists. (activité commerciale)",activité commerciale,2,1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-commissioner,Commissioner,Commissioner means the Privacy Commissioner appointed under section 53 of the Privacy Act. (commissaire),commissaire,2,1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-court,Court,Court means the Federal Court. (Cour),Cour,2,1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-federal-work-undertaking-or-business,"federal work, undertaking or business","federal work, undertaking or business means any work, undertaking or business that is within the legislative authority of Parliament. It includes (a) a work, undertaking or business that is operated or carried on for or in connection with navigation and shipping, whether inland or maritime, including the operation of ships and transportation by ship anywhere in Canada; (b) a railway, canal, telegraph or other work or undertaking that connects a province with another province, or that extends beyond the limits of a province; (c) a line of ships that connects a province with another province, or that extends beyond the limits of a province; (d) a ferry between a province and another province or between a province and a country other than Canada; (e) aerodromes, aircraft or a line of air transportation; (f) a radio broadcasting station; (g) a bank or an authorized foreign bank as defined in section 2 of the Bank Act; (h) a work that, although wholly situated within a province, is before or after its execution declared by Parliament to be for the general advantage of Canada or for the advantage of two or more provinces; (i) a work, undertaking or business outside the exclusive legislative authority of the legislatures of the provinces; and (j) a work, undertaking or business to which federal laws, within the meaning of section 2 of the Oceans Act, apply under section 20 of that Act and any regulations made under paragraph 26(1)(k) of that Act. (entreprises fédérales)",entreprises fédérales,2,1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-organization,organization,"organization includes an association, a partnership, a person and a trade union. (organisation)",organisation,2,1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-personal-health-information,personal health information,"personal health information, with respect to an individual, whether living or deceased, means (a) information concerning the physical or mental health of the individual; (b) information concerning any health service provided to the individual; (c) information concerning the donation by the individual of any body part or any bodily substance of the individual or information derived from the testing or examination of a body part or bodily substance of the individual; (d) information that is collected in the course of providing health services to the individual; or (e) information that is collected incidentally to the provision of health services to the individual. (renseignement personnel sur la santé)",renseignement personnel sur la santé,2,1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-personal-information,personal information,personal information means information about an identifiable individual. (renseignement personnel),renseignement personnel,2,1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-prescribed,prescribed,prescribed means prescribed by regulation. (Version anglaise seulement),Version anglaise seulement,2,1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-record,record,"record includes any correspondence, memorandum, book, plan, map, drawing, diagram, pictorial or graphic work, photograph, film, microform, sound recording, videotape, machine-readable record and any other documentary material, regardless of physical form or characteristics, and any copy of any of those things. (document)",document,2,1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-7.1-access,access,"access means to program, to execute programs on, to communicate with, to store data in, to retrieve data from, or to otherwise make use of any resources, including data or programs on a computer system or a computer network. (utiliser)",utiliser,7.1,1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-7.1-computer-program,computer program,computer program has the same meaning as in subsection 342.1(2) of the Criminal Code. (programme d’ordinateur),programme d’ordinateur,7.1,1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-7.1-computer-system,computer system,computer system has the same meaning as in subsection 342.1(2) of the Criminal Code. (ordinateur),ordinateur,7.1,1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-7.1-electronic-address,electronic address,electronic address means an address used in connection with (a) an electronic mail account; (b) an instant messaging account; or (c) any similar account. (adresse électronique),adresse électronique,7.1,1,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-31-data,data,"data means representations of information or concepts, in any form. (données)",données,31,2,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-31-electronic-document,electronic document,"electronic document means data that is recorded or stored on any medium in or by a computer system or other similar device and that can be read or perceived by a person or a computer system or other similar device. It includes a display, printout or other output of that data. (document électronique)",document électronique,31,2,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-31-electronic-signature,electronic signature,"electronic signature means a signature that consists of one or more letters, characters, numbers or other symbols in digital form incorporated in, attached to or associated with an electronic document. (signature électronique)",signature électronique,31,2,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-31-federal-law,federal law,"federal law means an Act of Parliament or an instrument, regardless of its name, issued, made or established under an Act of Parliament or a prerogative of the Crown, other than an instrument issued, made or established under the Yukon Act, the Northwest Territories Act or the Nunavut Act. (texte législatif)",texte législatif,31,2,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
