item_id,schedule_id,item,column_1,column_2,source_document
SCH2-1,SCH-2,1,Federal Real Property and Federal Immovables Act,"Sections 3, 5 to 7, 11 and 16",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH2-2,SCH-2,2,Canada Labour Code,Subsection 254(1),KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH2-3,SCH-2,3,Canada Lands Surveys Act,Subsection 3(2),KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH3-1,SCH-3,1,Federal Real Property Regulations,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH4-1,SCH-4,1,World Anti-Doping Agency,"Personal information that the organization collects, uses or discloses in the course of its interprovincial or international activities",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
