paragraph_id,parent_id,parent_type,level,label,text,amendment_history,source_document
S-10.1(8)(c),S-10.1(8),Subsection,paragraph,c,any other prescribed factor.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-10.2(3)(a),S-10.2(3),Subsection,paragraph,a,"the disclosure is made to the other organization, the government institution or the part of a government institution that was notified of the breach under subsection (1); and",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-10.2(3)(b),S-10.2(3),Subsection,paragraph,b,the disclosure is made solely for the purposes of reducing the risk of harm to the individual that could result from the breach or mitigating that harm.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-12(1)(a),S-12(1),Subsection,paragraph,a,the complainant ought first to exhaust grievance or review procedures otherwise reasonably available;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-12(1)(b),S-12(1),Subsection,paragraph,b,"the complaint could more appropriately be dealt with, initially or completely, by means of a procedure provided for under the laws of Canada, other than this Part, or the laws of a province; or",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-12(1)(c),S-12(1),Subsection,paragraph,c,the complaint was not filed within a reasonable period after the day on which the subject matter of the complaint arose.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-12.1(1)(a),S-12.1(1),Subsection,paragraph,a,"summon and enforce the appearance of persons before the Commissioner and compel them to give oral or written evidence on oath and to produce any records and things that the Commissioner considers necessary to investigate the complaint, in the same manner and to the same extent as a superior court of record;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-12.1(1)(b),S-12.1(1),Subsection,paragraph,b,administer oaths;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-12.1(1)(c),S-12.1(1),Subsection,paragraph,c,"receive and accept any evidence and other information, whether on oath, by affidavit or otherwise, that the Commissioner sees fit, whether or not it is or would be admissible in a court of law;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-12.1(1)(d),S-12.1(1),Subsection,paragraph,d,"at any reasonable time, enter any premises, other than a dwelling-house, occupied by an organization on satisfying any security requirements of the organization relating to the premises;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-12.1(1)(e),S-12.1(1),Subsection,paragraph,e,converse in private with any person in any premises entered under paragraph (d) and otherwise carry out in those premises any inquiries that the Commissioner sees fit; and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-12.1(1)(f),S-12.1(1),Subsection,paragraph,f,examine or obtain copies of or extracts from records found in any premises entered under paragraph (d) that contain any matter relevant to the investigation.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-12.2(1)(a),S-12.2(1),Subsection,paragraph,a,there is insufficient evidence to pursue the investigation;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-12.2(1)(b),S-12.2(1),Subsection,paragraph,b,"the complaint is trivial, frivolous or vexatious or is made in bad faith;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-12.2(1)(c),S-12.2(1),Subsection,paragraph,c,the organization has provided a fair and reasonable response to the complaint;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-12.2(1)(c.1),S-12.2(1),Subsection,paragraph,c.1,the matter is the object of a compliance agreement entered into under subsection 17.1(1);,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-12.2(1)(d),S-12.2(1),Subsection,paragraph,d,the matter is already the object of an ongoing investigation under this Part;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-12.2(1)(e),S-12.2(1),Subsection,paragraph,e,the matter has already been the subject of a report by the Commissioner;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-12.2(1)(f),S-12.2(1),Subsection,paragraph,f,"any of the circumstances mentioned in paragraph 12(1)(a), (b) or (c) apply; or",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-12.2(1)(g),S-12.2(1),Subsection,paragraph,g,the matter is being or has already been addressed under a procedure referred to in paragraph 12(1)(a) or (b).,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-13(1)(a),S-13(1),Subsection,paragraph,a,the Commissioner’s findings and recommendations;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-13(1)(b),S-13(1),Subsection,paragraph,b,any settlement that was reached by the parties;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-13(1)(c),S-13(1),Subsection,paragraph,c,"if appropriate, a request that the organization give the Commissioner, within a specified time, notice of any action taken or proposed to be taken to implement the recommendations contained in the report or reasons why no such action has been or is proposed to be taken; and",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-13(1)(d),S-13(1),Subsection,paragraph,d,"the recourse, if any, that is available under section 14.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-15(a),S-15,Section,paragraph,a,"apply to the Court, within the time limited by section 14, for a hearing in respect of any matter described in that section, if the Commissioner has the consent of the complainant;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-15(b),S-15,Section,paragraph,b,appear before the Court on behalf of any complainant who has applied for a hearing under section 14; or,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-15(c),S-15,Section,paragraph,c,"with leave of the Court, appear as a party to any hearing applied for under section 14.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-16(a),S-16,Section,paragraph,a,order an organization to correct its practices in order to comply with Divisions 1 and 1.1;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-16(b),S-16,Section,paragraph,b,"order an organization to publish a notice of any action taken or proposed to be taken to correct its practices, whether or not ordered to correct them under paragraph (a); and",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-16(c),S-16,Section,paragraph,c,"award damages to the complainant, including damages for any humiliation that the complainant has suffered.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-17.1(3)(a),S-17.1(3),Subsection,paragraph,a,shall not apply to the Court for a hearing under subsection 14(1) or paragraph 15(a); and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-17.1(3)(b),S-17.1(3),Subsection,paragraph,b,shall apply to the court for the suspension of any pending applications that were made by the Commissioner under those provisions.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-17.1(4)(a),S-17.1(4),Subsection,paragraph,a,an individual from applying for a hearing under section 14; or,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-17.1(4)(b),S-17.1(4),Subsection,paragraph,b,the prosecution of an offence under the Act.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-17.2(2)(a),S-17.2(2),Subsection,paragraph,a,"an order requiring the organization to comply with the terms of the agreement, in addition to any other remedies it may give; or",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-17.2(2)(b),S-17.2(2),Subsection,paragraph,b,a hearing under subsection 14(1) or paragraph 15(a) or to reinstate proceedings that have been suspended as a result of an application made under paragraph 17.1(3)(b).,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-18(1)(a),S-18(1),Subsection,paragraph,a,"summon and enforce the appearance of persons before the Commissioner and compel them to give oral or written evidence on oath and to produce any records and things that the Commissioner considers necessary for the audit, in the same manner and to the same extent as a superior court of record;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-18(1)(b),S-18(1),Subsection,paragraph,b,administer oaths;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-18(1)(c),S-18(1),Subsection,paragraph,c,"receive and accept any evidence and other information, whether on oath, by affidavit or otherwise, that the Commissioner sees fit, whether or not it is or would be admissible in a court of law;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-18(1)(d),S-18(1),Subsection,paragraph,d,"at any reasonable time, enter any premises, other than a dwelling-house, occupied by the organization on satisfying any security requirements of the organization relating to the premises;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-18(1)(e),S-18(1),Subsection,paragraph,e,converse in private with any person in any premises entered under paragraph (d) and otherwise carry out in those premises any inquiries that the Commissioner sees fit; and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-18(1)(f),S-18(1),Subsection,paragraph,f,examine or obtain copies of or extracts from records found in any premises entered under paragraph (d) that contain any matter relevant to the audit.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-20(3)(a),S-20(3),Subsection,paragraph,a,conduct an investigation or audit under this Part; or,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-20(3)(b),S-20(3),Subsection,paragraph,b,establish the grounds for findings and recommendations contained in any report under this Part.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-20(4)(a),S-20(4),Subsection,paragraph,a,a prosecution for an offence under section 28;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-20(4)(b),S-20(4),Subsection,paragraph,b,a prosecution for an offence under section 132 of the Criminal Code (perjury) in respect of a statement made under this Part;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-20(4)(c),S-20(4),Subsection,paragraph,c,a hearing before the Court under this Part;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-20(4)(d),S-20(4),Subsection,paragraph,d,an appeal from a decision of the Court; or,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-20(4)(e),S-20(4),Subsection,paragraph,e,a judicial review in relation to the performance or exercise of any of the Commissioner’s duties or powers under this Part.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-21(a),S-21,Section,paragraph,a,a prosecution for an offence under section 28;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-21(b),S-21,Section,paragraph,b,a prosecution for an offence under section 132 of the Criminal Code (perjury) in respect of a statement made under this Part;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-21(c),S-21,Section,paragraph,c,a hearing before the Court under this Part; or,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-21(d),S-21,Section,paragraph,d,an appeal from a decision of the Court.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-22(2)(a),S-22(2),Subsection,paragraph,a,"anything said, any information supplied or any record or thing produced in good faith in the course of an investigation or audit carried out by or on behalf of the Commissioner under this Part; and",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-22(2)(b),S-22(2),Subsection,paragraph,b,any report made in good faith by the Commissioner under this Part and any fair and accurate account of the report made in good faith for the purpose of news reporting.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23(2)(a),S-23(2),Subsection,paragraph,a,"coordinate the activities of their offices and the office of the Commissioner, including to provide for mechanisms for the handling of any complaint in which they are mutually interested;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23(2)(b),S-23(2),Subsection,paragraph,b,undertake and publish research or develop and publish guidelines or other instruments related to the protection of personal information;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23(2)(c),S-23(2),Subsection,paragraph,c,"develop model contracts or other instruments for the protection of personal information that is collected, used or disclosed interprovincially or internationally; and",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23(2)(d),S-23(2),Subsection,paragraph,d,develop procedures for sharing information referred to in subsection (3).,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23(3)(a),S-23(3),Subsection,paragraph,a,could be relevant to an ongoing or potential investigation of a complaint or audit under this Part or provincial legislation that has objectives that are similar to this Part; or,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23(3)(b),S-23(3),Subsection,paragraph,b,could assist the Commissioner or that person in the exercise of their functions and duties with respect to the protection of personal information.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23(4)(a),S-23(4),Subsection,paragraph,a,restrict the use of the information to the purpose for which it was originally shared; and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23(4)(b),S-23(4),Subsection,paragraph,b,stipulate that the information be treated in a confidential manner and not be further disclosed without the express consent of the Commissioner.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23.1(1)(a),S-23.1(1),Subsection,paragraph,a,functions and duties similar to those of the Commissioner with respect to the protection of personal information; or,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23.1(1)(b),S-23.1(1),Subsection,paragraph,b,responsibilities that relate to conduct that is substantially similar to conduct that would be in contravention of this Part.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23.1(2)(a),S-23.1(2),Subsection,paragraph,a,would be relevant to an ongoing or potential investigation or proceeding in respect of a contravention of the laws of a foreign state that address conduct that is substantially similar to conduct that would be in contravention of this Part; or,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23.1(2)(b),S-23.1(2),Subsection,paragraph,b,is necessary to disclose in order to obtain from the person or body information that may be useful to an ongoing or potential investigation or audit under this Part.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23.1(3)(a),S-23.1(3),Subsection,paragraph,a,limits the information to be disclosed to that which is necessary for the purpose set out in paragraph (2)(a) or (b);,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23.1(3)(b),S-23.1(3),Subsection,paragraph,b,restricts the use of the information to the purpose for which it was originally shared; and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23.1(3)(c),S-23.1(3),Subsection,paragraph,c,stipulates that the information be treated in a confidential manner and not be further disclosed without the express consent of the Commissioner.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23.1(4)(a),S-23.1(4),Subsection,paragraph,a,"provide for cooperation with respect to the enforcement of laws protecting personal information, including the sharing of information referred to in subsection (2) and the provision of mechanisms for the handling of any complaint in which they are mutually interested;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23.1(4)(b),S-23.1(4),Subsection,paragraph,b,establish procedures for sharing information referred to in subsection (2);,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23.1(4)(c),S-23.1(4),Subsection,paragraph,c,"develop recommendations, resolutions, rules, standards or other instruments with respect to the protection of personal information;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23.1(4)(d),S-23.1(4),Subsection,paragraph,d,undertake and publish research related to the protection of personal information;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23.1(4)(e),S-23.1(4),Subsection,paragraph,e,"share knowledge and expertise by different means, including through staff exchanges; or",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-23.1(4)(f),S-23.1(4),Subsection,paragraph,f,identify issues of mutual interest and determine priorities pertaining to the protection of personal information.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-24(a),S-24,Section,paragraph,a,"develop and conduct information programs to foster public understanding, and recognition of the purposes, of this Part;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-24(b),S-24,Section,paragraph,b,"undertake and publish research that is related to the protection of personal information, including any such research that is requested by the Minister of Industry;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-24(c),S-24,Section,paragraph,c,"encourage organizations to develop detailed policies and practices, including organizational codes of practice, to comply with Divisions 1 and 1.1; and",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-24(d),S-24,Section,paragraph,d,"promote, by any means that the Commissioner considers appropriate, the purposes of this Part.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-26(1)(a),S-26(1),Subsection,paragraph,a,"specifying, by name or by class, what is a government institution or part of a government institution for the purposes of any provision of this Part;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-26(1)(a.01),S-26(1),Subsection,paragraph,a.01,"[Repealed, 2015, c. 32, s. 21]",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-26(1)(a.1),S-26(1),Subsection,paragraph,a.1,"specifying information or classes of information for the purpose of paragraph 7(1)(d), (2)(c.1) or (3)(h.1);",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-26(1)(b),S-26(1),Subsection,paragraph,b,specifying information to be kept and maintained under subsection 10.3(1); and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-26(1)(c),S-26(1),Subsection,paragraph,c,prescribing anything that by this Part is to be prescribed.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-26(2)(a),S-26(2),Subsection,paragraph,a,provide that this Part is binding on any agent of Her Majesty in right of Canada to which the Privacy Act does not apply;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-26(2)(b),S-26(2),Subsection,paragraph,b,"if satisfied that legislation of a province that is substantially similar to this Part applies to an organization, a class of organizations, an activity or a class of activities, exempt the organization, activity or class from the application of this Part in respect of the collection, use or disclosure of personal information that occurs within that province; and",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-26(2)(c),S-26(2),Subsection,paragraph,c,amend Schedule 4.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-27.1(1)(a),S-27.1(1),Subsection,paragraph,a,"the employee, acting in good faith and on the basis of reasonable belief, has disclosed to the Commissioner that the employer or any other person has contravened or intends to contravene a provision of Division 1 or 1.1;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-27.1(1)(b),S-27.1(1),Subsection,paragraph,b,"the employee, acting in good faith and on the basis of reasonable belief, has refused or stated an intention of refusing to do anything that is a contravention of a provision of Division 1 or 1.1;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-27.1(1)(c),S-27.1(1),Subsection,paragraph,c,"the employee, acting in good faith and on the basis of reasonable belief, has done or stated an intention of doing anything that is required to be done in order that a provision of Division 1 or 1.1 not be contravened; or",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-27.1(1)(d),S-27.1(1),Subsection,paragraph,d,"the employer believes that the employee will do anything referred to in paragraph (a), (b) or (c).",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-28(a),S-28,Section,paragraph,a,"an offence punishable on summary conviction and liable to a fine not exceeding $10,000; or",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-28(b),S-28,Section,paragraph,b,"an indictable offence and liable to a fine not exceeding $100,000.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-31-responsible-authority(a),DEF-31-responsible-authority,Definition,paragraph,a,"if the federal law is an Act of Parliament, the minister responsible for that provision;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-31-responsible-authority(b),DEF-31-responsible-authority,Definition,paragraph,b,"if the federal law is an instrument issued, made or established under an Act of Parliament or a prerogative of the Crown, the person or body who issued, made or established the instrument; or",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-31-responsible-authority(c),DEF-31-responsible-authority,Definition,paragraph,c,"despite paragraph (a) or (b), the person or body designated by the Governor in Council under subsection (2). (autorité responsable)",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-37(a),S-37,Section,paragraph,a,"the electronic document is retained for the specified period in the format in which it was made, sent or received, or in a format that does not change the information contained in the electronic document that was originally made, sent or received;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-37(b),S-37,Section,paragraph,b,the information in the electronic document will be readable or perceivable by any person who is entitled to have access to the electronic document or who is authorized to require the production of the electronic document; and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-37(c),S-37,Section,paragraph,c,"if the electronic document was sent or received, any information that identifies the origin and destination of the electronic document and the date and time when it was sent or received is also retained.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-38(a),S-38,Section,paragraph,a,the electronic version of the document is recognized as a notarial act under the laws of the province of Quebec; and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-38(b),S-38,Section,paragraph,b,the federal law or the provision is listed in Schedule 2 or 3.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-40(a),S-40,Section,paragraph,a,the federal law or the provision is listed in Schedule 2 or 3;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-40(b),S-40,Section,paragraph,b,both persons have agreed to the document or information being provided in electronic form; and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-40(c),S-40,Section,paragraph,c,the document or information in electronic form will be under the control of the person to whom it is provided and will be readable or perceivable so as to be usable for subsequent reference.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-41(a),S-41,Section,paragraph,a,the federal law or the provision is listed in Schedule 2 or 3; and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-41(b),S-41,Section,paragraph,b,the regulations respecting the application of this section to the provision have been complied with.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-42(a),S-42,Section,paragraph,a,the federal law or the provision is listed in Schedule 2 or 3;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-42(b),S-42,Section,paragraph,b,the electronic document contains a secure electronic signature that was added when the electronic document was first generated in its final form and that can be used to verify that the electronic document has not been changed since that time; and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-42(c),S-42,Section,paragraph,c,the regulations respecting the application of this section to the provision have been complied with.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-43(a),S-43,Section,paragraph,a,the federal law or the provision is listed in Schedule 2 or 3; and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-43(b),S-43,Section,paragraph,b,the regulations respecting the application of this section to the provision have been complied with.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-44(a),S-44,Section,paragraph,a,the person who makes the statement signs it with that person’s secure electronic signature;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-44(b),S-44,Section,paragraph,b,"the person before whom the statement was made, and who is authorized to take statements under oath or solemn affirmation, signs it with that person’s secure electronic signature;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-44(c),S-44,Section,paragraph,c,the federal law or the provision is listed in Schedule 2 or 3; and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-44(d),S-44,Section,paragraph,d,the regulations respecting the application of this section to the provision have been complied with.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-45(a),S-45,Section,paragraph,a,the person signs it with that person’s secure electronic signature;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-45(b),S-45,Section,paragraph,b,the federal law or the provision is listed in Schedule 2 or 3; and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-45(c),S-45,Section,paragraph,c,the regulations respecting the application of this section to the provision have been complied with.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-46(a),S-46,Section,paragraph,a,each signatory and each witness signs the electronic document with their secure electronic signature;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-46(b),S-46,Section,paragraph,b,the federal law or the provision is listed in Schedule 2 or 3; and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-46(c),S-46,Section,paragraph,c,the regulations respecting the application of this section to the provision have been complied with.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-47(a),S-47,Section,paragraph,a,the federal law or the provision is listed in Schedule 2 or 3; and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-47(b),S-47,Section,paragraph,b,the regulations respecting the application of this section to the provision have been complied with.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-48(2)(a),S-48(2),Subsection,paragraph,a,the electronic signature resulting from the use by a person of the technology or process is unique to the person;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-48(2)(b),S-48(2),Subsection,paragraph,b,"the use of the technology or process by a person to incorporate, attach or associate the person’s electronic signature to an electronic document is under the sole control of the person;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-48(2)(c),S-48(2),Subsection,paragraph,c,the technology or process can be used to identify the person using the technology or process; and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-48(2)(d),S-48(2),Subsection,paragraph,d,"the electronic signature can be linked with an electronic document in such a way that it can be used to determine whether the electronic document has been changed since the electronic signature was incorporated in, attached to or associated with the electronic document.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-50(2)(a),S-50(2),Subsection,paragraph,a,the technology or process that must be used to make or send an electronic document;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-50(2)(b),S-50(2),Subsection,paragraph,b,the format of an electronic document;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-50(2)(c),S-50(2),Subsection,paragraph,c,the place where an electronic document is to be made or sent;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-50(2)(d),S-50(2),Subsection,paragraph,d,the time and circumstances when an electronic document is to be considered to be sent or received and the place where it is considered to have been sent or received;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-50(2)(e),S-50(2),Subsection,paragraph,e,the technology or process to be used to make or verify an electronic signature and the manner in which it is to be used; and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-50(2)(f),S-50(2),Subsection,paragraph,f,any matter necessary for the purposes of the application of sections 41 to 47.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-50(3)(a),S-50(3),Subsection,paragraph,a,both persons have agreed to the document or information being provided in electronic form; and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-50(3)(b),S-50(3),Subsection,paragraph,b,the document or information in electronic form will be under the control of the person to whom it is provided and will be readable or perceivable so as to be usable for subsequent reference.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-72(a),S-72,Section,paragraph,a,"in the case of Parts 1 and 2 or any provision of those Parts, the Minister of Industry; and",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-72(b),S-72,Section,paragraph,b,"in the case of Parts 3 to 5 or any provision of those Parts, the Minister of Justice. * [Note: Parts 2, 3 and 4 in force May 1, 2000; Part 1 in force January 1, 2001, see SI/2000-29; Part 5 in force June 1, 2009, see SI/ 2009-42.]",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
