clause_id,number,principle_id,type,text,source_document
SCH1-4.1.1,4.1.1,SCH1-4.1,clause,"Accountability for the organization’s compliance with the principles rests with the designated individual(s), even though other individuals within the organization may be responsible for the day-to-day collection and processing of personal information. In addition, other individuals within the organization may be delegated to act on behalf of the designated individual(s).",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH1-4.1.2,4.1.2,SCH1-4.1,clause,The identity of the individual(s) designated by the organization to oversee the organization’s compliance with the principles shall be made known upon request.,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH1-4.1.3,4.1.3,SCH1-4.1,clause,"An organization is responsible for personal information in its possession or custody, including information that has been transferred to a third party for processing. The organization shall use contractual or other means to provide a comparable level of protection while the information is being processed by a third party.",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH1-4.1.4,4.1.4,SCH1-4.1,clause,"Organizations shall implement policies and practices to give effect to the principles, including",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH1-4.2.1,4.2.1,SCH1-4.2,clause,The organization shall document the purposes for which personal information is collected in order to comply with the Openness principle (Clause 4.8) and the Individual Access principle (Clause 4.9).,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH1-4.2.2,4.2.2,SCH1-4.2,clause,Identifying the purposes for which personal information is collected at or before the time of collection allows organizations to determine the information they need to collect to fulfil these purposes. The Limiting Collection principle (Clause 4.4) requires an organization to collect only that information necessary for the purposes that have been identified.,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH1-4.2.3,4.2.3,SCH1-4.2,clause,"The identified purposes should be specified at or before the time of collection to the individual from whom the personal information is collected. Depending upon the way in which the information is collected, this can be done orally or in writing. An application form, for example, may give notice of the purposes.",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH1-4.2.4,4.2.4,SCH1-4.2,clause,"When personal information that has been collected is to be used for a purpose not previously identified, the new purpose shall be identified prior to use. Unless the new purpose is required by law, the consent of the individual is required before information can be used for that purpose. For an elaboration on consent, please refer to the Consent principle (Clause 4.3).",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH1-4.2.5,4.2.5,SCH1-4.2,clause,Persons collecting personal information should be able to explain to individuals the purposes for which the information is being collected.,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
SCH1-4.2.6,4.2.6,SCH1-4.2,clause,"This principle is linked closely to the Limiting Collection principle (Clause 4.4) and the Limiting Use, Disclosure, and Retention principle (Clause 4.5).",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
