part_id,number,title,source_document
PART-1,1,Protection of Personal Information in the Private Sector,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
PART-2,2,Electronic Documents,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
PART-3,3,Amendments to the Canada Evidence Act,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
PART-4,4,Amendments to the Statutory Instruments Act,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
PART-5,5,Amendments to the Statute Revision Act,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
PART-6,6,Coming into Force,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
