funcion_id,texto,clausula_id,articulo_id,source_document
FUN-a,Velar por el cumplimiento de la legislación en materia de protección de datos personales;,ART-21-LIT-a,ART-21,KB 2/South America/Ley_1581_de_2012.pdf
FUN-b,"Adelantar las investigaciones del caso, de oficio o a petición de parte y, como resultado de ellas, ordenar las medidas que sean necesarias para hacer efectivo el derecho de hábeas data. Para el efecto, siempre que se desconozca el derecho, podrá disponer que se conceda el acceso y suministro de los datos, la rectificación, actualización o supresión de los mismos;",ART-21-LIT-b,ART-21,KB 2/South America/Ley_1581_de_2012.pdf
FUN-c,"Disponer el bloqueo temporal de los datos cuando, de la solicitud y de las pruebas aportadas por el Titular, se identifique un riesgo cierto de vulneración de sus derechos fundamentales, y dicho bloqueo sea necesario para protegerlos mientras se adopta una decisión definitiva;",ART-21-LIT-c,ART-21,KB 2/South America/Ley_1581_de_2012.pdf
FUN-d,Promover y divulgar los derechos de las personas en relación con el Tratamiento de datos personales e implementará campañas pedagógicas para capacitar e informar a los ciudadanos acerca del ejercicio y garantía del derecho fundamental a la protección de datos;,ART-21-LIT-d,ART-21,KB 2/South America/Ley_1581_de_2012.pdf
FUN-e,Impartir instrucciones sobre las medidas y procedimientos necesarios para la adecuación de las operaciones de los Responsables del Tratamiento y Encargados del Tratamiento a las disposiciones previstas en la presente ley;,ART-21-LIT-e,ART-21,KB 2/South America/Ley_1581_de_2012.pdf
FUN-f,Solicitar a los Responsables del Tratamiento y Encargados del Tratamiento la información que sea necesaria para el ejercicio efectivo de sus funciones.,ART-21-LIT-f,ART-21,KB 2/South America/Ley_1581_de_2012.pdf
FUN-g,Proferir las declaraciones de conformidad sobre las transferencias internacionales de datos;,ART-21-LIT-g,ART-21,KB 2/South America/Ley_1581_de_2012.pdf
FUN-h,Administrar el Registro Nacional Público de Bases de Datos y emitir las órdenes y los actos necesarios para su administración y funcionamiento;,ART-21-LIT-h,ART-21,KB 2/South America/Ley_1581_de_2012.pdf
FUN-i,"Sugerir o recomendar los ajustes, correctivos o adecuaciones a la normatividad que resulten acordes con la evolución tecnológica, informática o comunicacional;",ART-21-LIT-i,ART-21,KB 2/South America/Ley_1581_de_2012.pdf
FUN-j,"Requerir la colaboración de entidades internacionales o extranjeras cuando se afecten los derechos de los Titulares fuera del territorio colombiano con ocasión, entre otras, de la recolección internacional de datos personajes;",ART-21-LIT-j,ART-21,KB 2/South America/Ley_1581_de_2012.pdf
FUN-k,Las demás que le sean asignadas por ley.,ART-21-LIT-k,ART-21,KB 2/South America/Ley_1581_de_2012.pdf
