clausula_id,articulo_id,tipo,marcador,orden,texto,source_document
ART-1-INC-1,ART-1,inciso,1,1,"La presente ley tiene por objeto desarrollar el derecho constitucional que tienen todas las personas a conocer, actualizar y rectificar las informaciones que se hayan recogido sobre ellas en bases de datos o archivos, y los demás derechos, libertades y garantías constitucionales a que se refiere el artículo 15 de la Constitución Política; así como el derecho a la información consagrado en el artículo 20 de la misma.",KB 2/South America/Ley_1581_de_2012.pdf
ART-2-INC-1,ART-2,inciso,1,2,Los principios y disposiciones contenidas en la presente ley serán aplicables a los datos personales registrados en cualquier base de datos que los haga susceptibles de tratamiento por entidades de naturaleza pública o privada.,KB 2/South America/Ley_1581_de_2012.pdf
ART-2-INC-2,ART-2,inciso,2,3,La presente ley aplicará al tratamiento de datos personales efectuado en territorio colombiano o cuando al Responsable del Tratamiento o Encargado del Tratamiento no establecido en territorio nacional le sea aplicable la legislación colombiana en virtud de normas y tratados internacionales.,KB 2/South America/Ley_1581_de_2012.pdf
ART-2-INC-3,ART-2,inciso,3,4,El régimen de protección de datos personales que se establece en la presente ley no será de aplicación:,KB 2/South America/Ley_1581_de_2012.pdf
ART-2-LIT-a,ART-2,literal,a,5,a) A las bases de datos o archivos mantenidos en un ámbito exclusivamente personal o doméstico.,KB 2/South America/Ley_1581_de_2012.pdf
ART-2-INC-4,ART-2,inciso,4,6,"Cuando estas bases de datos o archivos vayan a ser suministrados a terceros se deberá, de manera previa, informar al Titular y solicitar su autorización. En este caso los Responsables y Encargados de las bases de datos y archivos quedarán sujetos a las disposiciones contenidas en la presente ley;",KB 2/South America/Ley_1581_de_2012.pdf
ART-2-LIT-b,ART-2,literal,b,7,"b) A las bases de datos y archivos que tengan por finalidad la seguridad y defensa nacional, así como la prevención, detección, monitoreo y control del lavado de activos y el financiamiento del terrorismo;",KB 2/South America/Ley_1581_de_2012.pdf
ART-2-LIT-c,ART-2,literal,c,8,c) A las Bases de datos que tengan como fin y contengan información de inteligencia y contrainteligencia;,KB 2/South America/Ley_1581_de_2012.pdf
ART-2-LIT-d,ART-2,literal,d,9,d) A las bases de datos y archivos de información periodística y otros contenidos editoriales;,KB 2/South America/Ley_1581_de_2012.pdf
ART-2-LIT-e,ART-2,literal,e,10,e) A las bases de datos y archivos regulados por la Ley 1266 de 2008;,KB 2/South America/Ley_1581_de_2012.pdf
ART-2-LIT-f,ART-2,literal,f,11,f) A las bases de datos y archivos regulados por la Ley 79 de 1993.,KB 2/South America/Ley_1581_de_2012.pdf
