criterio_id,texto,clausula_id,articulo_id,source_document
CRIT-a,La dimensión del daño o peligro a los intereses jurídicos tutelados por la presente ley;,ART-24-LIT-a,ART-24,KB 2/South America/Ley_1581_de_2012.pdf
CRIT-b,"El beneficio económico obtenido por el infractor o terceros, en virtud de la comisión de la infracción;",ART-24-LIT-b,ART-24,KB 2/South America/Ley_1581_de_2012.pdf
CRIT-c,La reincidencia en la comisión de la infracción;,ART-24-LIT-c,ART-24,KB 2/South America/Ley_1581_de_2012.pdf
CRIT-d,"La resistencia, negativa u obstrucción a la acción investigadora o de vigilancia de la Superintendencia de Industria y Comercio;",ART-24-LIT-d,ART-24,KB 2/South America/Ley_1581_de_2012.pdf
CRIT-e,La renuencia o desacato a cumplir las órdenes impartidas por la Superintendencia de Industria y Comercio;,ART-24-LIT-e,ART-24,KB 2/South America/Ley_1581_de_2012.pdf
CRIT-f,El reconocimiento o aceptación expresos que haga el investigado sobre la comisión de la infracción antes de la imposición de la sanción a que hubiere lugar.,ART-24-LIT-f,ART-24,KB 2/South America/Ley_1581_de_2012.pdf
