referencia_id,titulo,source_document
EXT-LEY-1266-2008,Ley 1266 de 2008,KB 2/South America/Ley_1581_de_2012.pdf
EXT-LEY-79-1993,Ley 79 de 1993,KB 2/South America/Ley_1581_de_2012.pdf
EXT-CP-ART-15,artículo 15 de la Constitución Política,KB 2/South America/Ley_1581_de_2012.pdf
EXT-CP-ART-20,artículo 20 de la misma [Constitución Política],KB 2/South America/Ley_1581_de_2012.pdf
EXT-CCA,Código Contencioso Administrativo,KB 2/South America/Ley_1581_de_2012.pdf
EXT-DEC-886-2014,Decreto Nacional 886 de 2014,KB 2/South America/Ley_1581_de_2012.pdf
EXT-PGN-PRESUPUESTO,Presupuesto General de la Nación,KB 2/South America/Ley_1581_de_2012.pdf
