definicion_id,termino,definicion,clausula_id,articulo_id,source_document
DEF-a,Autorización,"Consentimiento previo, expreso e informado del Titular para llevar a cabo el Tratamiento de datos personales;",ART-3-LIT-a,ART-3,KB 2/South America/Ley_1581_de_2012.pdf
DEF-b,Base de Datos,Conjunto organizado de datos personales que sea objeto de Tratamiento;,ART-3-LIT-b,ART-3,KB 2/South America/Ley_1581_de_2012.pdf
DEF-c,Dato personal,Cualquier información vinculada o que pueda asociarse a una o varias personas naturales determinadas o determinables;,ART-3-LIT-c,ART-3,KB 2/South America/Ley_1581_de_2012.pdf
DEF-d,Encargado del Tratamiento,"Persona natural o jurídica, pública o privada, que por sí misma o en asocio con otros, realice el Tratamiento de datos personales por cuenta del Responsable del Tratamiento;",ART-3-LIT-d,ART-3,KB 2/South America/Ley_1581_de_2012.pdf
DEF-e,Responsable del Tratamiento,"Persona natural o jurídica, pública o privada, que por sí misma o en asocio con otros, decida sobre la base de datos y/o el Tratamiento de los datos;",ART-3-LIT-e,ART-3,KB 2/South America/Ley_1581_de_2012.pdf
DEF-f,Titular,Persona natural cuyos datos personales sean objeto de Tratamiento;,ART-3-LIT-f,ART-3,KB 2/South America/Ley_1581_de_2012.pdf
DEF-g,Tratamiento,"Cualquier operación o conjunto de operaciones sobre datos personales, tales como la recolección, almacenamiento, uso, circulación o supresión.",ART-3-LIT-g,ART-3,KB 2/South America/Ley_1581_de_2012.pdf
