titulo_id,numeral,label,heading,source_document
TIT-I,I,TÍTULO I,"OBJETO, ÁMBITO DE APLICACIÓN Y DEFINICIONES",KB 2/South America/Ley_1581_de_2012.pdf
TIT-II,II,TÍTULO II,PRINCIPIOS RECTORES,KB 2/South America/Ley_1581_de_2012.pdf
TIT-III,III,TÍTULO III,CATEGORÍAS ESPECIALES DE DATOS,KB 2/South America/Ley_1581_de_2012.pdf
TIT-IV,IV,TÍTULO IV,DERECHOS Y CONDICIONES DE LEGALIDAD PARA EL TRATAMIENTO DE DATOS,KB 2/South America/Ley_1581_de_2012.pdf
TIT-V,V,TÍTULO V,PROCEDIMIENTOS,KB 2/South America/Ley_1581_de_2012.pdf
TIT-VI,VI,TÍTULO VI,DEBERES DE LOS RESPONSABLES DEL TRATAMIENTO Y ENCARGADOS DEL TRATAMIENTO,KB 2/South America/Ley_1581_de_2012.pdf
TIT-VII,VII,TÍTULO VII,DE LOS MECANISMOS DE VIGILANCIA Y SANCIÓN,KB 2/South America/Ley_1581_de_2012.pdf
TIT-VIII,VIII,TÍTULO VIII,TRANSFERENCIA DE DATOS A TERCEROS PAÍSES,KB 2/South America/Ley_1581_de_2012.pdf
TIT-IX,IX,TÍTULO IX,OTRAS DISPOSICIONES,KB 2/South America/Ley_1581_de_2012.pdf
