capitulo_id,titulo_id,numeral,label,heading,source_document
TIT-VII-CAP-I,TIT-VII,I,CAPÍTULO I,De la autoridad de protección de datos,KB 2/South America/Ley_1581_de_2012.pdf
TIT-VII-CAP-II,TIT-VII,II,CAPÍTULO II,Procedimiento y sanciones,KB 2/South America/Ley_1581_de_2012.pdf
TIT-VII-CAP-III,TIT-VII,III,CAPÍTULO III,Del Registro Nacional de Bases de Datos,KB 2/South America/Ley_1581_de_2012.pdf
