derecho_id,texto,clausula_id,articulo_id,source_document
DER-a,"Conocer, actualizar y rectificar sus datos personales frente a los Responsables del Tratamiento o Encargados del Tratamiento. Este derecho se podrá ejercer, entre otros frente a datos parciales, inexactos, incompletos, fraccionados, que induzcan a error, o aquellos cuyo Tratamiento esté expresamente prohibido o no haya sido autorizado;",ART-8-LIT-a,ART-8,KB 2/South America/Ley_1581_de_2012.pdf
DER-b,"Solicitar prueba de la autorización otorgada al Responsable del Tratamiento salvo cuando expresamente se exceptúe como requisito para el Tratamiento, de conformidad con lo previsto en el artículo 10 de la presente ley;",ART-8-LIT-b,ART-8,KB 2/South America/Ley_1581_de_2012.pdf
DER-c,"Ser informado por el Responsable del Tratamiento o el Encargado del Tratamiento, previa solicitud, respecto del uso que le ha dado a sus datos personales;",ART-8-LIT-c,ART-8,KB 2/South America/Ley_1581_de_2012.pdf
DER-d,"Presentar ante la Superintendencia de Industria y Comercio quejas por infracciones a lo dispuesto en la presente ley y las demás normas que la modifiquen, adicionen o complementen;",ART-8-LIT-d,ART-8,KB 2/South America/Ley_1581_de_2012.pdf
DER-e,"Revocar la autorización y/o solicitar la supresión del dato cuando en el Tratamiento no se respeten los principios, derechos y garantías constitucionales y legales. La revocatoria y/o supresión procederá cuando la Superintendencia de Industria y Comercio haya determinado que en el Tratamiento el Responsable o Encargado han incurrido en conductas contrarias a esta ley y a la Constitución;",ART-8-LIT-e,ART-8,KB 2/South America/Ley_1581_de_2012.pdf
DER-f,Acceder en forma gratuita a sus datos personales que hayan sido objeto de Tratamiento.,ART-8-LIT-f,ART-8,KB 2/South America/Ley_1581_de_2012.pdf
