Relationship_Type,Source_Node_Type,Source_ID,Target_Node_Type,Target_ID,Properties
CONTAINS_ARTICLE,Section,SEC-03-01,Article,ART-012,order:1
CONTAINS_ARTICLE,Section,SEC-03-02,Article,ART-013,order:1
CONTAINS_ARTICLE,Section,SEC-03-02,Article,ART-014,order:2
CONTAINS_ARTICLE,Section,SEC-03-02,Article,ART-015,order:3
CONTAINS_ARTICLE,Section,SEC-03-03,Article,ART-016,order:1
CONTAINS_ARTICLE,Section,SEC-03-03,Article,ART-017,order:2
CONTAINS_ARTICLE,Section,SEC-03-03,Article,ART-018,order:3
CONTAINS_ARTICLE,Section,SEC-03-03,Article,ART-019,order:4
CONTAINS_ARTICLE,Section,SEC-03-03,Article,ART-020,order:5
CONTAINS_ARTICLE,Section,SEC-03-04,Article,ART-021,order:1
CONTAINS_ARTICLE,Section,SEC-03-04,Article,ART-022,order:2
CONTAINS_ARTICLE,Section,SEC-03-05,Article,ART-023,order:1
CONTAINS_ARTICLE,Section,SEC-04-01,Article,ART-024,order:1
CONTAINS_ARTICLE,Section,SEC-04-01,Article,ART-025,order:2
CONTAINS_ARTICLE,Section,SEC-04-01,Article,ART-026,order:3
CONTAINS_ARTICLE,Section,SEC-04-01,Article,ART-027,order:4
CONTAINS_ARTICLE,Section,SEC-04-01,Article,ART-028,order:5
CONTAINS_ARTICLE,Section,SEC-04-01,Article,ART-029,order:6
CONTAINS_ARTICLE,Section,SEC-04-01,Article,ART-030,order:7
CONTAINS_ARTICLE,Section,SEC-04-01,Article,ART-031,order:8
CONTAINS_ARTICLE,Section,SEC-04-02,Article,ART-032,order:1
CONTAINS_ARTICLE,Section,SEC-04-02,Article,ART-033,order:2
CONTAINS_ARTICLE,Section,SEC-04-02,Article,ART-034,order:3
CONTAINS_ARTICLE,Section,SEC-04-03,Article,ART-035,order:1
CONTAINS_ARTICLE,Section,SEC-04-03,Article,ART-036,order:2
CONTAINS_ARTICLE,Section,SEC-04-04,Article,ART-037,order:1
CONTAINS_ARTICLE,Section,SEC-04-04,Article,ART-038,order:2
CONTAINS_ARTICLE,Section,SEC-04-04,Article,ART-039,order:3
CONTAINS_ARTICLE,Section,SEC-04-05,Article,ART-040,order:1
CONTAINS_ARTICLE,Section,SEC-04-05,Article,ART-041,order:2
CONTAINS_ARTICLE,Section,SEC-04-05,Article,ART-042,order:3
CONTAINS_ARTICLE,Section,SEC-04-05,Article,ART-043,order:4
CONTAINS_ARTICLE,Section,SEC-06-01,Article,ART-051,order:1
CONTAINS_ARTICLE,Section,SEC-06-01,Article,ART-052,order:2
CONTAINS_ARTICLE,Section,SEC-06-01,Article,ART-053,order:3
CONTAINS_ARTICLE,Section,SEC-06-01,Article,ART-054,order:4
CONTAINS_ARTICLE,Section,SEC-06-02,Article,ART-055,order:1
CONTAINS_ARTICLE,Section,SEC-06-02,Article,ART-056,order:2
CONTAINS_ARTICLE,Section,SEC-06-02,Article,ART-057,order:3
CONTAINS_ARTICLE,Section,SEC-06-02,Article,ART-058,order:4
CONTAINS_ARTICLE,Section,SEC-06-02,Article,ART-059,order:5
CONTAINS_ARTICLE,Section,SEC-07-01,Article,ART-060,order:1
CONTAINS_ARTICLE,Section,SEC-07-01,Article,ART-061,order:2
CONTAINS_ARTICLE,Section,SEC-07-01,Article,ART-062,order:3
CONTAINS_ARTICLE,Section,SEC-07-02,Article,ART-063,order:1
CONTAINS_ARTICLE,Section,SEC-07-02,Article,ART-064,order:2
CONTAINS_ARTICLE,Section,SEC-07-02,Article,ART-065,order:3
CONTAINS_ARTICLE,Section,SEC-07-02,Article,ART-066,order:4
CONTAINS_ARTICLE,Section,SEC-07-02,Article,ART-067,order:5
CONTAINS_ARTICLE,Section,SEC-07-03,Article,ART-068,order:1
CONTAINS_ARTICLE,Section,SEC-07-03,Article,ART-069,order:2
CONTAINS_ARTICLE,Section,SEC-07-03,Article,ART-070,order:3
CONTAINS_ARTICLE,Section,SEC-07-03,Article,ART-071,order:4
CONTAINS_ARTICLE,Section,SEC-07-03,Article,ART-072,order:5
CONTAINS_ARTICLE,Section,SEC-07-03,Article,ART-073,order:6
CONTAINS_ARTICLE,Section,SEC-07-03,Article,ART-074,order:7
CONTAINS_ARTICLE,Section,SEC-07-03,Article,ART-075,order:8
CONTAINS_ARTICLE,Section,SEC-07-03,Article,ART-076,order:9
