start_id,end_id,relationship_type,order
chapter_2,article_5,CONTAINS_ARTICLE,1
chapter_2,article_6,CONTAINS_ARTICLE,2
chapter_2,article_7,CONTAINS_ARTICLE,3
chapter_2,article_9,CONTAINS_ARTICLE,4
chapter_2,article_10,CONTAINS_ARTICLE,5
chapter_3,article_12,CONTAINS_ARTICLE,1
chapter_3,article_13,CONTAINS_ARTICLE,2
chapter_3,article_14,CONTAINS_ARTICLE,3
chapter_4,article_24,CONTAINS_ARTICLE,1
chapter_4,article_25,CONTAINS_ARTICLE,2
chapter_4,article_28,CONTAINS_ARTICLE,3
chapter_4,article_30,CONTAINS_ARTICLE,4
chapter_4,article_32,CONTAINS_ARTICLE,5
chapter_4,article_33,CONTAINS_ARTICLE,6
chapter_4,article_34,CONTAINS_ARTICLE,7
chapter_4,article_35,CONTAINS_ARTICLE,8
