Relationship_Type,Source_Node_Type,Source_ID,Target_Node_Type,Target_ID,Properties
HAS_SUB_PARAGRAPH,Paragraph,PARA-006-01,SubParagraph,SUBPARA-006-01-a,order:a
HAS_SUB_PARAGRAPH,Paragraph,PARA-006-01,SubParagraph,SUBPARA-006-01-b,order:b
HAS_SUB_PARAGRAPH,Paragraph,PARA-006-01,SubParagraph,SUBPARA-006-01-c,order:c
HAS_SUB_PARAGRAPH,Paragraph,PARA-006-01,SubParagraph,SUBPARA-006-01-d,order:d
HAS_SUB_PARAGRAPH,Paragraph,PARA-006-01,SubParagraph,SUBPARA-006-01-e,order:e
HAS_SUB_PARAGRAPH,Paragraph,PARA-006-01,SubParagraph,SUBPARA-006-01-f,order:f
HAS_SUB_PARAGRAPH,Paragraph,PARA-009-02,SubParagraph,SUBPARA-009-02-a,order:a
HAS_SUB_PARAGRAPH,Paragraph,PARA-009-02,SubParagraph,SUBPARA-009-02-b,order:b
HAS_SUB_PARAGRAPH,Paragraph,PARA-009-02,SubParagraph,SUBPARA-009-02-c,order:c
HAS_SUB_PARAGRAPH,Paragraph,PARA-009-02,SubParagraph,SUBPARA-009-02-d,order:d
HAS_SUB_PARAGRAPH,Paragraph,PARA-009-02,SubParagraph,SUBPARA-009-02-e,order:e
HAS_SUB_PARAGRAPH,Paragraph,PARA-009-02,SubParagraph,SUBPARA-009-02-f,order:f
HAS_SUB_PARAGRAPH,Paragraph,PARA-009-02,SubParagraph,SUBPARA-009-02-g,order:g
HAS_SUB_PARAGRAPH,Paragraph,PARA-009-02,SubParagraph,SUBPARA-009-02-h,order:h
HAS_SUB_PARAGRAPH,Paragraph,PARA-009-02,SubParagraph,SUBPARA-009-02-i,order:i
HAS_SUB_PARAGRAPH,Paragraph,PARA-009-02,SubParagraph,SUBPARA-009-02-j,order:j
HAS_SUB_PARAGRAPH,Paragraph,PARA-005-01,SubParagraph,SUBPARA-005-01-a,order:a
HAS_SUB_PARAGRAPH,Paragraph,PARA-005-01,SubParagraph,SUBPARA-005-01-b,order:b
HAS_SUB_PARAGRAPH,Paragraph,PARA-005-01,SubParagraph,SUBPARA-005-01-c,order:c
HAS_SUB_PARAGRAPH,Paragraph,PARA-005-01,SubParagraph,SUBPARA-005-01-d,order:d
HAS_SUB_PARAGRAPH,Paragraph,PARA-005-01,SubParagraph,SUBPARA-005-01-e,order:e
HAS_SUB_PARAGRAPH,Paragraph,PARA-005-01,SubParagraph,SUBPARA-005-01-f,order:f
HAS_SUB_PARAGRAPH,Paragraph,PARA-015-01,SubParagraph,SUBPARA-015-01-a,order:a
HAS_SUB_PARAGRAPH,Paragraph,PARA-015-01,SubParagraph,SUBPARA-015-01-b,order:b
HAS_SUB_PARAGRAPH,Paragraph,PARA-015-01,SubParagraph,SUBPARA-015-01-c,order:c
HAS_SUB_PARAGRAPH,Paragraph,PARA-015-01,SubParagraph,SUBPARA-015-01-d,order:d
HAS_SUB_PARAGRAPH,Paragraph,PARA-015-01,SubParagraph,SUBPARA-015-01-e,order:e
HAS_SUB_PARAGRAPH,Paragraph,PARA-015-01,SubParagraph,SUBPARA-015-01-f,order:f
HAS_SUB_PARAGRAPH,Paragraph,PARA-015-01,SubParagraph,SUBPARA-015-01-g,order:g
HAS_SUB_PARAGRAPH,Paragraph,PARA-015-01,SubParagraph,SUBPARA-015-01-h,order:h
HAS_SUB_PARAGRAPH,Paragraph,PARA-013-01,SubParagraph,SUBPARA-013-01-a,order:a
HAS_SUB_PARAGRAPH,Paragraph,PARA-013-01,SubParagraph,SUBPARA-013-01-b,order:b
HAS_SUB_PARAGRAPH,Paragraph,PARA-013-01,SubParagraph,SUBPARA-013-01-c,order:c
HAS_SUB_PARAGRAPH,Paragraph,PARA-013-01,SubParagraph,SUBPARA-013-01-d,order:d
HAS_SUB_PARAGRAPH,Paragraph,PARA-013-01,SubParagraph,SUBPARA-013-01-e,order:e
HAS_SUB_PARAGRAPH,Paragraph,PARA-013-01,SubParagraph,SUBPARA-013-01-f,order:f
HAS_SUB_PARAGRAPH,Paragraph,PARA-030-01,SubParagraph,SUBPARA-030-01-a,order:a
HAS_SUB_PARAGRAPH,Paragraph,PARA-030-01,SubParagraph,SUBPARA-030-01-b,order:b
HAS_SUB_PARAGRAPH,Paragraph,PARA-030-01,SubParagraph,SUBPARA-030-01-c,order:c
HAS_SUB_PARAGRAPH,Paragraph,PARA-030-01,SubParagraph,SUBPARA-030-01-d,order:d
