enforcement_action_id,role_id
EA-WARNING,ROLE-DF
EA-WARNING,ROLE-SDF
EA-SUSPEND,ROLE-DF
EA-SUSPEND,ROLE-SDF
EA-CEASE,ROLE-DF
EA-CEASE,ROLE-SDF
EA-FINE-LOW,ROLE-DF
EA-FINE-LOW,ROLE-SDF
EA-FINE-HIGH,ROLE-DF
EA-FINE-HIGH,ROLE-SDF
EA-DESTROY,ROLE-DF
EA-DESTROY,ROLE-SDF
EA-AUDIT,ROLE-SDF
EA-AUDIT,ROLE-DPO
EA-BARRIER,ROLE-DF
EA-BARRIER,ROLE-DP
EA-COMPENSATION,ROLE-DF
EA-COMPENSATION,ROLE-DPR
EA-APPEAL,ROLE-DF
EA-CRIMINAL,ROLE-AUTH
EA-PUBLICITY,ROLE-AUTH
