chapter_id,section_id
CHAP-1,SEC-1-1
CHAP-1,SEC-1-2
CHAP-2,SEC-2-1
CHAP-2,SEC-2-2
CHAP-2,SEC-2-3
CHAP-2,SEC-2-4
CHAP-2,SEC-2-5
CHAP-2,SEC-2-6
CHAP-2,SEC-2-7
CHAP-2,SEC-2-8
CHAP-2,SEC-2-9
CHAP-2,SEC-2-10
CHAP-2,SEC-2-11
CHAP-3,SEC-3-1
CHAP-3,SEC-3-2
CHAP-3,SEC-3-3
CHAP-3,SEC-3-4
CHAP-4,SEC-4-1
CHAP-4,SEC-4-2
CHAP-5,SEC-5-1
CHAP-5,SEC-5-2
CHAP-5,SEC-5-3
CHAP-5,SEC-5-4
CHAP-5,SEC-5-5
CHAP-5,SEC-5-6
CHAP-6,SEC-6-1
CHAP-6,SEC-6-2
CHAP-6,SEC-6-3
CHAP-6,SEC-6-4
CHAP-6,SEC-6-5
CHAP-6,SEC-6-6
CHAP-7,SEC-7-1
CHAP-7,SEC-7-2
CHAP-7,SEC-7-3
CHAP-7,SEC-7-4
CHAP-8,SEC-8-1
CHAP-8,SEC-8-2
CHAP-9,SEC-9-1
CHAP-9,SEC-9-2
CHAP-9,SEC-9-3
CHAP-9,SEC-9-4
CHAP-9,SEC-9-5
CHAP-9,SEC-9-6
CHAP-9,SEC-9-7
