requirement_id,data_id
REQ-S4-001,DATA-PII
REQ-S5-001,DATA-PII
REQ-S5-001,DATA-SENS
REQ-S6-001,DATA-PII
REQ-S7-001,DATA-PII
REQ-S7-001,DATA-SENS
REQ-S8-001,DATA-PII
REQ-S10-001,DATA-PII
REQ-S10-001,DATA-SENS
REQ-S11-001,DATA-PII
REQ-S12-001,DATA-PII
REQ-S13-001,DATA-PII
REQ-S29-001,DATA-CHILD
REQ-S29-002,DATA-CHILD
REQ-S31-001,DATA-VULN
