right_id,name,section_id
RIGHT-ACCESS,Right to Access Information about Personal Data,SEC-11
RIGHT-CORRECTION,Right to Correction of Personal Data,SEC-12
RIGHT-ERASURE,Right to Erasure of Personal Data,SEC-12
RIGHT-CONSENT-WITHDRAWAL,Right to Withdraw Consent,SEC-06
RIGHT-GRIEVANCE,Right of Grievance Redressal,SEC-13
RIGHT-NOMINATE,Right to Nominate,SEC-14
