chapter_id,chapter_number,title,source_document
chI,I,General Provisions,KB 2/China/Personal Information Protection Law.pdf
chII,II,Rules for Processing Personal Information,KB 2/China/Personal Information Protection Law.pdf
chIII,III,Rules for Cross-border Provision of Personal Information,KB 2/China/Personal Information Protection Law.pdf
chIV,IV,Rights of Individuals in Activities of Processing Personal Information,KB 2/China/Personal Information Protection Law.pdf
chV,V,Obligations of Personal Information Processors,KB 2/China/Personal Information Protection Law.pdf
chVI,VI,Departments Performing Duties of personal information protection,KB 2/China/Personal Information Protection Law.pdf
chVII,VII,Legal Liability,KB 2/China/Personal Information Protection Law.pdf
chVIII,VIII,Supplementary Provisions,KB 2/China/Personal Information Protection Law.pdf
