item_id,article_number,paragraph_id,item_label,item_number,text,source_document
art3_p2_I,3,art3_p2,(I),1,where the purpose is to provide products or services to domestic natural persons;,KB 2/China/Personal Information Protection Law.pdf
art3_p2_II,3,art3_p2,(II),2,where the purpose is to analyze and evaluate the activities of domestic natural persons; and,KB 2/China/Personal Information Protection Law.pdf
art3_p2_III,3,art3_p2,(III),3,other circumstances provided by laws and administrative regulations.,KB 2/China/Personal Information Protection Law.pdf
art13_p1_I,13,art13_p1,(I),1,where the consent of the individual concerned is obtained;,KB 2/China/Personal Information Protection Law.pdf
art13_p1_II,13,art13_p1,(II),2,"where it is necessary for the conclusion or performance of a contract to which the individual concerned is a party, or to implement human resources management in accordance with labor rules and regulations formulated according to law and collective contracts concluded according to law;",KB 2/China/Personal Information Protection Law.pdf
art13_p1_III,13,art13_p1,(III),3,where it is necessary for the performance of statutory duties or statutory obligations;,KB 2/China/Personal Information Protection Law.pdf
art13_p1_IV,13,art13_p1,(IV),4,"where it is necessary for coping with public health emergencies or for the protection of the life, health and property safety of a natural person;",KB 2/China/Personal Information Protection Law.pdf
art13_p1_V,13,art13_p1,(V),5,where processing personal information within a reasonable scope is to carry out such activities as news reporting and supervision by public opinions for the public interest;,KB 2/China/Personal Information Protection Law.pdf
art13_p1_VI,13,art13_p1,(VI),6,where the personal information disclosed by individuals themselves or other legally disclosed personal information is processed within a reasonable range in accordance with the provisions of this Law; and,KB 2/China/Personal Information Protection Law.pdf
art13_p1_VII,13,art13_p1,(VII),7,other circumstances provided by laws and administrative regulations.,KB 2/China/Personal Information Protection Law.pdf
art17_p1_I,17,art17_p1,(I),1,the name and contact information of the personal information processor;,KB 2/China/Personal Information Protection Law.pdf
art17_p1_II,17,art17_p1,(II),2,"the purpose and method of processing personal information, and the type and retention period of the processed personal information;",KB 2/China/Personal Information Protection Law.pdf
art17_p1_III,17,art17_p1,(III),3,the method and procedure for the individual to exercise the rights provided herein; and,KB 2/China/Personal Information Protection Law.pdf
art17_p1_IV,17,art17_p1,(IV),4,other matters to be notified in accordance with the provisions of laws and administrative regulations.,KB 2/China/Personal Information Protection Law.pdf
art38_p1_I,38,art38_p1,(I),1,where it has passed the security assessment organized by the State cyberspace administration in accordance with Article 40 hereof;,KB 2/China/Personal Information Protection Law.pdf
art38_p1_II,38,art38_p1,(II),2,where it has been certified by a specialized in accordance with the provisions of the State cyberspace administration in respect of the protection of personal information;,KB 2/China/Personal Information Protection Law.pdf
art38_p1_III,38,art38_p1,(III),3,"where it has concluded a contract with an overseas recipient according to the standard contract formulated by the state cyberspace administration, specifying the rights and obligations of both parties; or",KB 2/China/Personal Information Protection Law.pdf
art38_p1_IV,38,art38_p1,(IV),4,"where it has satisfied other conditions prescribed by laws, administrative regulations or the State cyberspace administration.",KB 2/China/Personal Information Protection Law.pdf
art47_p1_I,47,art47_p1,(I),1,"where the purpose of processing has been achieved, unable to achieve, or is no longer necessary to achieve;",KB 2/China/Personal Information Protection Law.pdf
art47_p1_II,47,art47_p1,(II),2,"where the personal information processor stops providing products or services, or the agreed storage period has expired;",KB 2/China/Personal Information Protection Law.pdf
art47_p1_III,47,art47_p1,(III),3,where the individual withdraws his/her consent;,KB 2/China/Personal Information Protection Law.pdf
art47_p1_IV,47,art47_p1,(IV),4,"where the personal information processor processes personal information in violation of laws, administrative regulations or the agreement; or",KB 2/China/Personal Information Protection Law.pdf
art47_p1_V,47,art47_p1,(V),5,any other circumstance as prescribed by laws and administrative regulations.,KB 2/China/Personal Information Protection Law.pdf
art51_p1_I,51,art51_p1,(I),1,formulating internal management system and operational procedures;,KB 2/China/Personal Information Protection Law.pdf
art51_p1_II,51,art51_p1,(II),2,managing personal information by classification;,KB 2/China/Personal Information Protection Law.pdf
art51_p1_III,51,art51_p1,(III),3,taking corresponding technical security measures such as encryption and de-identification;,KB 2/China/Personal Information Protection Law.pdf
art51_p1_IV,51,art51_p1,(IV),4,reasonably determining the authority to process personal information and conduct security education and training for employees on a regular basis;,KB 2/China/Personal Information Protection Law.pdf
art51_p1_V,51,art51_p1,(V),5,formulating and organizing the implementation of emergency plans for personal information security incidents; and,KB 2/China/Personal Information Protection Law.pdf
art51_p1_VI,51,art51_p1,(VI),6,other measures as prescribed by laws and administrative regulations.,KB 2/China/Personal Information Protection Law.pdf
art55_p1_I,55,art55_p1,(I),1,processing sensitive personal information;,KB 2/China/Personal Information Protection Law.pdf
art55_p1_II,55,art55_p1,(II),2,making use of personal information to make automatic decision;,KB 2/China/Personal Information Protection Law.pdf
art55_p1_III,55,art55_p1,(III),3,"entrusting others to process personal information, providing other personal information processor with personal information, and disclosing personal information;",KB 2/China/Personal Information Protection Law.pdf
art55_p1_IV,55,art55_p1,(IV),4,providing personal information to overseas parties; and,KB 2/China/Personal Information Protection Law.pdf
art55_p1_V,55,art55_p1,(V),5,other personal information processing activities that have significant impact on individuals' rights and interests.,KB 2/China/Personal Information Protection Law.pdf
art56_p1_I,56,art56_p1,(I),1,"whether the purpose and method of processing personal information are legitimate, justifiable and necessary;",KB 2/China/Personal Information Protection Law.pdf
art56_p1_II,56,art56_p1,(II),2,impact on individuals' right and interest and the security risks; and,KB 2/China/Personal Information Protection Law.pdf
art56_p1_III,56,art56_p1,(III),3,"whether the security protection measures taken are legitimate, effective and appropriate to the degree of risks.",KB 2/China/Personal Information Protection Law.pdf
art57_p1_I,57,art57_p1,(I),1,"types and causes of personal information leakage, falsification, and loss that have occurred or may occur and the possible harm caused;",KB 2/China/Personal Information Protection Law.pdf
art57_p1_II,57,art57_p1,(II),2,remedial measures taken by personal information processor and measures taken by individuals to mitigate harm;,KB 2/China/Personal Information Protection Law.pdf
