definition_id,term,definition_text,defined_in_article,defined_in_clause,source_document
def_personal_information,Personal information,"Personal information refers to various kinds of information related to identified or identifiable natural persons recorded by electronic or other means, excluding the information processed anonymously.",4,art4_p1,KB 2/China/Personal Information Protection Law.pdf
def_processing,Processing of personal information,"Processing of personal information includes the collection, storage, use, processing, transmission, provision, publication, and erasure of personal information.",4,art4_p2,KB 2/China/Personal Information Protection Law.pdf
def_sensitive_personal_information,Sensitive personal information,"Sensitive personal information refers to the personal information that can easily lead to the infringement of the personal dignity or natural persons or the harm of personal or property safety once leaked or illegally used, including such information as biometrics, religious belief, specific identities, medical health, financial accounts, and whereabouts, and the personal information of minors under the age of 14.",28,art28_p1,KB 2/China/Personal Information Protection Law.pdf
def_departments,Departments performing duties of personal information protection,The departments mentioned in the preceding two paragraphs are collectively referred to as the departments performing duties of personal information protection.,60,art60_p3,KB 2/China/Personal Information Protection Law.pdf
def_personal_information_processor,Personal information processor,A personal information processor refers to any organization or individual that independently determines the purpose and method of processing in personal information processing activities.,73,art73_p1_I,KB 2/China/Personal Information Protection Law.pdf
def_automatic_decision_making,Automatic decision-making,"An automatic decision-making refers to an activity to automatically analyze and evaluate a person's behavior habits, hobbies or economic, health or credit status through computer programs and make decisions.",73,art73_p1_II,KB 2/China/Personal Information Protection Law.pdf
def_de_identification,De-identification,De-identification refers to the process in which the personal information is processed so that it is impossible to identify certain natural persons without the use of additional information.,73,art73_p1_III,KB 2/China/Personal Information Protection Law.pdf
def_anonymization,Anonymization,Anonymization refers to the process in which the personal information is processed so that it is impossible to identify a certain natural person and unable to be recovered.,73,art73_p1_IV,KB 2/China/Personal Information Protection Law.pdf
