section_id,chapter_number,section_number,title,source_document
chII_s1,II,1,General Provisions,KB 2/China/Personal Information Protection Law.pdf
chII_s2,II,2,Rules for Processing Sensitive Personal Information,KB 2/China/Personal Information Protection Law.pdf
chII_s3,II,3,Special Provisions on Processing Personal Information by State Organs,KB 2/China/Personal Information Protection Law.pdf
