article_id,article_number,chapter_number,section_number,paragraph_count,item_count,source_document
art1,1,I,,1,0,KB 2/China/Personal Information Protection Law.pdf
art2,2,I,,1,0,KB 2/China/Personal Information Protection Law.pdf
art3,3,I,,2,3,KB 2/China/Personal Information Protection Law.pdf
art4,4,I,,2,0,KB 2/China/Personal Information Protection Law.pdf
art5,5,I,,1,0,KB 2/China/Personal Information Protection Law.pdf
art6,6,I,,2,0,KB 2/China/Personal Information Protection Law.pdf
art7,7,I,,1,0,KB 2/China/Personal Information Protection Law.pdf
art8,8,I,,1,0,KB 2/China/Personal Information Protection Law.pdf
art9,9,I,,1,0,KB 2/China/Personal Information Protection Law.pdf
art10,10,I,,1,0,KB 2/China/Personal Information Protection Law.pdf
art11,11,I,,1,0,KB 2/China/Personal Information Protection Law.pdf
art12,12,I,,1,0,KB 2/China/Personal Information Protection Law.pdf
art13,13,II,1,2,7,KB 2/China/Personal Information Protection Law.pdf
art14,14,II,1,2,0,KB 2/China/Personal Information Protection Law.pdf
art15,15,II,1,2,0,KB 2/China/Personal Information Protection Law.pdf
art16,16,II,1,1,0,KB 2/China/Personal Information Protection Law.pdf
art17,17,II,1,2,4,KB 2/China/Personal Information Protection Law.pdf
art18,18,II,1,2,0,KB 2/China/Personal Information Protection Law.pdf
art19,19,II,1,1,0,KB 2/China/Personal Information Protection Law.pdf
art20,20,II,1,2,0,KB 2/China/Personal Information Protection Law.pdf
art21,21,II,1,3,0,KB 2/China/Personal Information Protection Law.pdf
art22,22,II,1,1,0,KB 2/China/Personal Information Protection Law.pdf
art23,23,II,1,1,0,KB 2/China/Personal Information Protection Law.pdf
art24,24,II,1,3,0,KB 2/China/Personal Information Protection Law.pdf
art25,25,II,1,1,0,KB 2/China/Personal Information Protection Law.pdf
art26,26,II,1,1,0,KB 2/China/Personal Information Protection Law.pdf
art27,27,II,1,1,0,KB 2/China/Personal Information Protection Law.pdf
art28,28,II,2,2,0,KB 2/China/Personal Information Protection Law.pdf
art29,29,II,2,1,0,KB 2/China/Personal Information Protection Law.pdf
art30,30,II,2,1,0,KB 2/China/Personal Information Protection Law.pdf
art31,31,II,2,2,0,KB 2/China/Personal Information Protection Law.pdf
art32,32,II,2,1,0,KB 2/China/Personal Information Protection Law.pdf
art33,33,II,3,1,0,KB 2/China/Personal Information Protection Law.pdf
art34,34,II,3,1,0,KB 2/China/Personal Information Protection Law.pdf
art35,35,II,3,1,0,KB 2/China/Personal Information Protection Law.pdf
art36,36,II,3,1,0,KB 2/China/Personal Information Protection Law.pdf
art37,37,II,3,1,0,KB 2/China/Personal Information Protection Law.pdf
art38,38,III,,3,4,KB 2/China/Personal Information Protection Law.pdf
art39,39,III,,1,0,KB 2/China/Personal Information Protection Law.pdf
art40,40,III,,1,0,KB 2/China/Personal Information Protection Law.pdf
art41,41,III,,1,0,KB 2/China/Personal Information Protection Law.pdf
art42,42,III,,1,0,KB 2/China/Personal Information Protection Law.pdf
art43,43,III,,1,0,KB 2/China/Personal Information Protection Law.pdf
art44,44,IV,,1,0,KB 2/China/Personal Information Protection Law.pdf
art45,45,IV,,3,0,KB 2/China/Personal Information Protection Law.pdf
art46,46,IV,,2,0,KB 2/China/Personal Information Protection Law.pdf
art47,47,IV,,2,5,KB 2/China/Personal Information Protection Law.pdf
art48,48,IV,,1,0,KB 2/China/Personal Information Protection Law.pdf
art49,49,IV,,1,0,KB 2/China/Personal Information Protection Law.pdf
art50,50,IV,,2,0,KB 2/China/Personal Information Protection Law.pdf
art51,51,V,,1,6,KB 2/China/Personal Information Protection Law.pdf
art52,52,V,,2,0,KB 2/China/Personal Information Protection Law.pdf
art53,53,V,,1,0,KB 2/China/Personal Information Protection Law.pdf
art54,54,V,,1,0,KB 2/China/Personal Information Protection Law.pdf
art55,55,V,,1,5,KB 2/China/Personal Information Protection Law.pdf
art56,56,V,,2,3,KB 2/China/Personal Information Protection Law.pdf
art57,57,V,,2,3,KB 2/China/Personal Information Protection Law.pdf
art58,58,V,,1,4,KB 2/China/Personal Information Protection Law.pdf
art59,59,V,,1,0,KB 2/China/Personal Information Protection Law.pdf
art60,60,VI,,3,0,KB 2/China/Personal Information Protection Law.pdf
art61,61,VI,,1,5,KB 2/China/Personal Information Protection Law.pdf
art62,62,VI,,1,5,KB 2/China/Personal Information Protection Law.pdf
art63,63,VI,,2,4,KB 2/China/Personal Information Protection Law.pdf
art64,64,VI,,2,0,KB 2/China/Personal Information Protection Law.pdf
art65,65,VI,,1,0,KB 2/China/Personal Information Protection Law.pdf
art66,66,VII,,2,0,KB 2/China/Personal Information Protection Law.pdf
art67,67,VII,,1,0,KB 2/China/Personal Information Protection Law.pdf
art68,68,VII,,2,0,KB 2/China/Personal Information Protection Law.pdf
art69,69,VII,,2,0,KB 2/China/Personal Information Protection Law.pdf
art70,70,VII,,1,0,KB 2/China/Personal Information Protection Law.pdf
art71,71,VII,,1,0,KB 2/China/Personal Information Protection Law.pdf
art72,72,VIII,,1,0,KB 2/China/Personal Information Protection Law.pdf
art73,73,VIII,,1,4,KB 2/China/Personal Information Protection Law.pdf
art74,74,VIII,,1,0,KB 2/China/Personal Information Protection Law.pdf
