source_id,target_id,rel_type,paragraph_number
art1,art1_p1,HAS_PARAGRAPH,1
art2,art2_p1,HAS_PARAGRAPH,1
art3,art3_p1,HAS_PARAGRAPH,1
art3,art3_p2,HAS_PARAGRAPH,2
art4,art4_p1,HAS_PARAGRAPH,1
art4,art4_p2,HAS_PARAGRAPH,2
art5,art5_p1,HAS_PARAGRAPH,1
art6,art6_p1,HAS_PARAGRAPH,1
art6,art6_p2,HAS_PARAGRAPH,2
art7,art7_p1,HAS_PARAGRAPH,1
art8,art8_p1,HAS_PARAGRAPH,1
art9,art9_p1,HAS_PARAGRAPH,1
art10,art10_p1,HAS_PARAGRAPH,1
art11,art11_p1,HAS_PARAGRAPH,1
art12,art12_p1,HAS_PARAGRAPH,1
art13,art13_p1,HAS_PARAGRAPH,1
art13,art13_p2,HAS_PARAGRAPH,2
art14,art14_p1,HAS_PARAGRAPH,1
art14,art14_p2,HAS_PARAGRAPH,2
art15,art15_p1,HAS_PARAGRAPH,1
art15,art15_p2,HAS_PARAGRAPH,2
art16,art16_p1,HAS_PARAGRAPH,1
art17,art17_p1,HAS_PARAGRAPH,1
art17,art17_p2,HAS_PARAGRAPH,2
art18,art18_p1,HAS_PARAGRAPH,1
art18,art18_p2,HAS_PARAGRAPH,2
art19,art19_p1,HAS_PARAGRAPH,1
art20,art20_p1,HAS_PARAGRAPH,1
art20,art20_p2,HAS_PARAGRAPH,2
art21,art21_p1,HAS_PARAGRAPH,1
art21,art21_p2,HAS_PARAGRAPH,2
art21,art21_p3,HAS_PARAGRAPH,3
art22,art22_p1,HAS_PARAGRAPH,1
art23,art23_p1,HAS_PARAGRAPH,1
art24,art24_p1,HAS_PARAGRAPH,1
art24,art24_p2,HAS_PARAGRAPH,2
art24,art24_p3,HAS_PARAGRAPH,3
art25,art25_p1,HAS_PARAGRAPH,1
art26,art26_p1,HAS_PARAGRAPH,1
art27,art27_p1,HAS_PARAGRAPH,1
art28,art28_p1,HAS_PARAGRAPH,1
art28,art28_p2,HAS_PARAGRAPH,2
art29,art29_p1,HAS_PARAGRAPH,1
art30,art30_p1,HAS_PARAGRAPH,1
art31,art31_p1,HAS_PARAGRAPH,1
art31,art31_p2,HAS_PARAGRAPH,2
art32,art32_p1,HAS_PARAGRAPH,1
art33,art33_p1,HAS_PARAGRAPH,1
art34,art34_p1,HAS_PARAGRAPH,1
art35,art35_p1,HAS_PARAGRAPH,1
art36,art36_p1,HAS_PARAGRAPH,1
art37,art37_p1,HAS_PARAGRAPH,1
art38,art38_p1,HAS_PARAGRAPH,1
art38,art38_p2,HAS_PARAGRAPH,2
art38,art38_p3,HAS_PARAGRAPH,3
art39,art39_p1,HAS_PARAGRAPH,1
art40,art40_p1,HAS_PARAGRAPH,1
art41,art41_p1,HAS_PARAGRAPH,1
art42,art42_p1,HAS_PARAGRAPH,1
art43,art43_p1,HAS_PARAGRAPH,1
art44,art44_p1,HAS_PARAGRAPH,1
art45,art45_p1,HAS_PARAGRAPH,1
art45,art45_p2,HAS_PARAGRAPH,2
art45,art45_p3,HAS_PARAGRAPH,3
art46,art46_p1,HAS_PARAGRAPH,1
art46,art46_p2,HAS_PARAGRAPH,2
art47,art47_p1,HAS_PARAGRAPH,1
art47,art47_p2,HAS_PARAGRAPH,2
art48,art48_p1,HAS_PARAGRAPH,1
art49,art49_p1,HAS_PARAGRAPH,1
art50,art50_p1,HAS_PARAGRAPH,1
art50,art50_p2,HAS_PARAGRAPH,2
art51,art51_p1,HAS_PARAGRAPH,1
art52,art52_p1,HAS_PARAGRAPH,1
art52,art52_p2,HAS_PARAGRAPH,2
art53,art53_p1,HAS_PARAGRAPH,1
art54,art54_p1,HAS_PARAGRAPH,1
art55,art55_p1,HAS_PARAGRAPH,1
art56,art56_p1,HAS_PARAGRAPH,1
art56,art56_p2,HAS_PARAGRAPH,2
art57,art57_p1,HAS_PARAGRAPH,1
art57,art57_p2,HAS_PARAGRAPH,2
art58,art58_p1,HAS_PARAGRAPH,1
art59,art59_p1,HAS_PARAGRAPH,1
art60,art60_p1,HAS_PARAGRAPH,1
art60,art60_p2,HAS_PARAGRAPH,2
art60,art60_p3,HAS_PARAGRAPH,3
art61,art61_p1,HAS_PARAGRAPH,1
art62,art62_p1,HAS_PARAGRAPH,1
art63,art63_p1,HAS_PARAGRAPH,1
art63,art63_p2,HAS_PARAGRAPH,2
art64,art64_p1,HAS_PARAGRAPH,1
art64,art64_p2,HAS_PARAGRAPH,2
art65,art65_p1,HAS_PARAGRAPH,1
art66,art66_p1,HAS_PARAGRAPH,1
art66,art66_p2,HAS_PARAGRAPH,2
art67,art67_p1,HAS_PARAGRAPH,1
art68,art68_p1,HAS_PARAGRAPH,1
art68,art68_p2,HAS_PARAGRAPH,2
art69,art69_p1,HAS_PARAGRAPH,1
art69,art69_p2,HAS_PARAGRAPH,2
art70,art70_p1,HAS_PARAGRAPH,1
art71,art71_p1,HAS_PARAGRAPH,1
art72,art72_p1,HAS_PARAGRAPH,1
art73,art73_p1,HAS_PARAGRAPH,1
art74,art74_p1,HAS_PARAGRAPH,1
