role_id,name,source_document
ROLE-EMPLOYEE,Employee,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
ROLE-VOLUNTEER,Volunteer,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
ROLE-TRUSTEE,Trustee,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
ROLE-UNIVERSITY-RESEARCH-ASSISTANT,University research assistant,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
ROLE-STUDENT,Student,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
ROLE-MSP-ADMINISTRATOR,MSP administrator,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
ROLE-THIRD-PARTY-CONTRACTOR,Third party contractor,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
ROLE-CUSTOMER,Customer,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
