ownershipcategory_id,name,source_document
OWN-ORG,Owned by your organisation,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
OWN-THIRD,Owned by a third party,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
OWN-BYOD,BYOD,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
