source_id,target_id,rel_type,number
CT-1,SEC-E,PART_OF,1
CT-2,SEC-E,PART_OF,2
CT-3,SEC-E,PART_OF,3
CT-4,SEC-E,PART_OF,4
CT-5,SEC-E,PART_OF,5
