source_id,target_id,rel_type,as_stated
CT-1,AT-BOUNDARY-FIREWALLS,APPLIES_TO,boundary firewalls
CT-1,AT-DESKTOP-COMPUTERS,APPLIES_TO,desktop computers
CT-1,AT-LAPTOPS,APPLIES_TO,laptops
CT-1,AT-ROUTERS,APPLIES_TO,routers
CT-1,AT-SERVERS,APPLIES_TO,servers
CT-1,AT-IAAS,APPLIES_TO,IaaS
CT-1,AT-PAAS,APPLIES_TO,PaaS
CT-1,AT-SAAS,APPLIES_TO,SaaS
CT-2,AT-SERVERS,APPLIES_TO,servers
CT-2,AT-DESKTOP-COMPUTERS,APPLIES_TO,desktop computers
CT-2,AT-LAPTOPS,APPLIES_TO,laptops
CT-2,AT-TABLETS,APPLIES_TO,tablets
CT-2,AT-MOBILE-PHONES,APPLIES_TO,mobile phones
CT-2,AT-THIN-CLIENTS,APPLIES_TO,thin clients
CT-2,AT-IAAS,APPLIES_TO,IaaS
CT-2,AT-PAAS,APPLIES_TO,PaaS
CT-2,AT-SAAS,APPLIES_TO,SaaS
CT-3,AT-SERVERS,APPLIES_TO,servers
CT-3,AT-DESKTOP-COMPUTERS,APPLIES_TO,desktop computers
CT-3,AT-LAPTOPS,APPLIES_TO,laptops
CT-3,AT-TABLETS,APPLIES_TO,tablets
CT-3,AT-MOBILE-PHONES,APPLIES_TO,mobile phones
CT-3,AT-FIREWALLS,APPLIES_TO,firewalls
CT-3,AT-ROUTERS,APPLIES_TO,routers
CT-3,AT-IAAS,APPLIES_TO,IaaS
CT-3,AT-PAAS,APPLIES_TO,PaaS
CT-3,AT-SAAS,APPLIES_TO,SaaS
CT-4,AT-SERVERS,APPLIES_TO,servers
CT-4,AT-DESKTOP-COMPUTERS,APPLIES_TO,desktop computers
CT-4,AT-LAPTOPS,APPLIES_TO,laptops
CT-4,AT-TABLETS,APPLIES_TO,tablets
CT-4,AT-MOBILE-PHONES,APPLIES_TO,mobile phones
CT-4,AT-IAAS,APPLIES_TO,IaaS
CT-4,AT-PAAS,APPLIES_TO,PaaS
CT-4,AT-SAAS,APPLIES_TO,SaaS
CT-5,AT-SERVERS,APPLIES_TO,Servers
CT-5,AT-DESKTOP-COMPUTERS,APPLIES_TO,desktop computers
CT-5,AT-LAPTOPS,APPLIES_TO,laptops
CT-5,AT-TABLETS,APPLIES_TO,tablets
CT-5,AT-MOBILE-PHONES,APPLIES_TO,mobile phones
CT-5,AT-IAAS,APPLIES_TO,IaaS
CT-5,AT-PAAS,APPLIES_TO,PaaS
CT-5,AT-SAAS,APPLIES_TO,SaaS
