clause_id,container_id,parent_clause_id,clause_ref,heading,obligation_type,text,page,source_document
CL-WN-1,SEC-WN,,What’s new 1,What’s new in this version,informative,Definition for ‘cloud services’ provided,3,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-WN-2,SEC-WN,,What’s new 2,What’s new in this version,informative,Updated definition for Passwordless Authentication to include FIDO2,3,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-WN-3,SEC-WN,,What’s new 3,What’s new in this version,informative,Definitive statement that cloud services cannot be excluded from scope,3,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-WN-4,SEC-WN,,What’s new 4,What’s new in this version,informative,Software Security Code of Practice introduced in Software Development section,3,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-WN-5,SEC-WN,,What’s new 5,What’s new in this version,informative,Scope criteria no longer refers to ‘untrusted connections',3,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-WN-6,SEC-WN,,What’s new 6,What’s new in this version,informative,Importance of backing up data is emphasised,3,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-A-1,SEC-A,,A.1,Introducing the technical controls,informative,We have organised the requirements under five technical controls: 1. Firewalls 2. Secure Configuration 3. Security Update Management 4. User Access Control 5. Malware Protection,3,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-A-2,SEC-A,,A.2,Introducing the technical controls,mandatory,"As a Cyber Essentials scheme applicant organisation, it's your responsibility to make sure that your organisation meets all the requirements. You might also be required to supply evidence before your Certification Body can award certification at the level for which you’re applying.",3,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-A-3,SEC-A,,A.3,What you should do first,recommended,"Establish the boundary of scope for your organisation, and then determine what is in scope within this boundary.",3,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-A-4,SEC-A,,A.4,What you should do first,recommended,Review each of the five technical control themes and the controls they embody as requirements.,3,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CL-A-5,SEC-A,,A.5,What you should do first,recommended,Take the necessary steps to ensure that your organisation meets every requirement it needs for the scope you have determined.,3,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
