cloudservicemodel_id,name,abbreviation,description,examples,source_document
CSM-IAAS,Infrastructure as a Service (IaaS),IaaS,"Infrastructure as a Service (IaaS) – the cloud provider delivers virtual servers and network equipment that, much like physical equipment, your organisation configures and manages. Examples of IaaS include Rackspace, Google Compute Engine, or Amazon EC2","Rackspace, Google Compute Engine, or Amazon EC2",KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CSM-PAAS,Platform as a Service (PaaS),PaaS,"Platform as a Service (PaaS) – the cloud provider delivers and manages the underlying infrastructure, and your organisation provides and manages the applications. Examples of PaaS include Azure Web Apps and Amazon Web Services Lambda",Azure Web Apps and Amazon Web Services Lambda,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CSM-SAAS,Software as a Service (SaaS),SaaS,"Software as a Service (SaaS) – the cloud provider delivers applications, and your organisation then configures the services. You must still make sure that the service is configured securely. Examples of SaaS include Microsoft 365, Dropbox and Gmail","Microsoft 365, Dropbox and Gmail",KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
