controltheme_id,number,name,applies_to,aim,page,source_document
CT-1,1,Firewalls,"boundary firewalls, desktop computers, laptops, routers, servers, IaaS, PaaS, SaaS",To make sure that only secure and necessary network services can be accessed from the internet.,13,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CT-2,2,Secure Configuration,"servers, desktop computers, laptops, tablets, mobile phones, thin clients, IaaS, PaaS, SaaS",Ensure that computers and network devices are properly configured to: reduce vulnerabilities; provide only the services required to fulfil their role,14,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CT-3,3,Security Update Management,"servers, desktop computers, laptops, tablets, mobile phones, firewalls, routers, IaaS, PaaS, SaaS",Ensure that devices and software are not vulnerable to known security issues for which fixes are available.,16,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CT-4,4,User Access Control,"servers, desktop computers, laptops, tablets, mobile phones, IaaS, PaaS, SaaS","Ensure that user accounts: are assigned to authorised individuals only; provide access to only those applications, computers and networks that the user needs to carry out their role",18,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
CT-5,5,Malware protection,"Servers, desktop computers, laptops, tablets, mobile phones, IaaS, PaaS, SaaS","To restrict execution of known malware and untrusted software, from causing damage or accessing data.",23,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
