assettype_id,name,source_document
AT-BOUNDARY-FIREWALLS,boundary firewalls,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
AT-DESKTOP-COMPUTERS,desktop computers,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
AT-LAPTOPS,laptops,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
AT-ROUTERS,routers,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
AT-SERVERS,servers,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
AT-IAAS,IaaS,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
AT-PAAS,PaaS,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
AT-SAAS,SaaS,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
AT-TABLETS,tablets,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
AT-MOBILE-PHONES,mobile phones,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
AT-THIN-CLIENTS,thin clients,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
AT-FIREWALLS,firewalls,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
