part_id,part_number,article_id,text,source_document
article_6_part_1,1,article_6,Personal data processing is subject to compliance with the principles and regulations stipulated by this Federal Law. Personal data processing is permitted in the following cases:,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_6_part_1_1,1.1,article_6,"The processing of personal data of objects of state protection and their family members is conducted taking into account the specific features provided for by Federal Law dated May 27, 1996 N 57-FZ “On state protection” (part 1.1 introduced by Federal Law dated July 1, 2017 N 148-FZ - Legislation Bulletin of the Russian Federation, 2017, N 27, art. 3945).","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_6_part_2,2,article_6,"The peculiarities of the processing of special categories of personal data and the processing of biometric personal data are established by articles 10 and 11 of this Federal Law, respectively.","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_6_part_3,3,article_6,"Controllers are entitled to assign the processing of personal data to another entity with the consent of the data subject, unless otherwise stipulated by a federal law, on the basis of an agreement concluded with that entity, including a state or municipal contract or through adoption of a relevant act by a state or municipal body (hereinafter referred to as “controller instruction”). An entity conducting the processing of personal data on the instruction of a controller is obliged to comply with the principles and regulations for the processing of personal data stipulated by this Federal Law. The controller’s instruction provides a list of actions (operations) to be performed with the personal data by the entity conducting the processing of personal data, and the purposes of the processing; it establishes the obligation of such entity to comply with personal data confidentiality and to ensure that the personal data remain secure during processing, and specifies the requirements relating to the protection of processed personal data in accordance with article 19 of this Federal Law.","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_6_part_4,4,article_6,An entity conducting the processing of personal data on the instruction of a controller is not obliged to obtain the consent of the data subject to the processing of their personal data.,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_6_part_5,5,article_6,"If a controller assigns the processing of personal data to another entity, the liability of the data subject for the actions of such entity lies with the controller. An entity conducting the processing of personal data on the instruction of a controller is liable to the controller. (Article 6 ed. Federal Law dated July 25, 2011 N 261-FZ - Legislation Bulletin of the Russian Federation, 2011, N 31, art. 4701)","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_7_part_0,,article_7,"Controllers and other entities that have obtained access to personal data are obliged to refrain from disclosing to third parties or disseminating such personal data without the consent of the data subject, unless otherwise stipulated by federal law (ed. Federal Law dated July 25, 2011 N 261-FZ - Legislation Bulletin of the Russian Federation, 2011, N 31, art. 4701).","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_8_part_1,1,article_8,"Publicly accessible sources of personal data (including directories and address books) may be created for the purpose of information provision. Subject to the written consent of the data subject, the surname, forename, patronymic, year and place of birth, address, telephone number, occupation details of such data subject, and other personal data reported by the data subject may be included in publicly accessible sources of personal data (ed. Federal Law dated July 25, 2011 N 261-FZ - Legislation Bulletin of the Russian Federation, 2011, N 31, art. 4701).","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_8_part_2,2,article_8,"Details of a data subject may be excluded at any time from publicly accessible sources of personal data at the request of the data subject or by decision of a court or other authorized state bodies (ed. Federal Law dated July 25, 2011 N 261-FZ - Legislation Bulletin of the Russian Federation, 2011, N 31, art. 4701).","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_9_part_1,1,article_9,"Data subjects shall decide whether to provide their personal data and give consent to the processing thereof freely, of their own will, and in their own interest. Consent to the processing of personal data shall be specific, informed and conscious. Consent to the processing of personal data may be given by the data subject or their representative in any form that provides evidence of its receipt, unless otherwise stipulated by federal law. If consent to the processing of personal data is received from a representative of the data subject, the authority of that representative to give consent on behalf of the data subject shall be verified by the controller.","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
