definition_id,term,definition_text,item_id,source_document
def_personal_data,Personal data,any information referring directly or indirectly to a particular or identified private entity (data subject),article_3_part_0_item_1,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
def_controller,Controller,"the state body, municipal body, legal entity or private entity that, independently or in conjunction with other entities, organizes and (or) processes personal data and determines the purposes of personal data processing, the composition of the personal data to be processed, and the actions (operations) performed during personal processing",article_3_part_0_item_2,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
def_personal_data_processing,Personal data processing,"any action (operation) or a combination of actions (operations) performed both automatically and without the use of such means with personal data, including the legislation, recording, arrangement, accumulation, storage, rectification (updating, changing), extraction, use, distribution (including transfer), anonymizing, blocking and destruction of personal data",article_3_part_0_item_3,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
def_automated_personal_data_processing,Automated personal data processing,the processing of personal data by means of computer technology,article_3_part_0_item_4,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
def_distribution_of_personal_data,Distribution of personal data,actions related to making data available to the public,article_3_part_0_item_5,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
def_provision_of_personal_data,Provision of personal data,actions related to making data available to a particular entity or the public,article_3_part_0_item_6,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
def_blocking_of_personal_data,Blocking of personal data,the temporary cessation of personal data processing (with the exception of cases when the processing is needed for personal data rectification),article_3_part_0_item_7,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
def_destruction_of_personal_data,Destruction of personal data,actions performed on personal data contained in an information system that make restoration of such data impossible and (or) actions aimed at the physical destruction of physical media of personal data,article_3_part_0_item_8,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
def_anonymization_of_personal_data,Anonymization of personal data,actions performed on personal data that make it impossible to determine the identity of the subject without the use of information in addition to such anonymized data,article_3_part_0_item_9,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
def_personal_data_information_system,Personal data information system,a database that contains personal data and the information technologies and hardware used for their processing,article_3_part_0_item_10,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
def_cross_border_transfer_of_personal_data,Cross-border transfer of personal data,"cross-border transfer of personal data to a foreign authority, foreign private entity or foreign legal entity located in a foreign state. (Article 3 ed. Federal Law dated July 25, 2011 N 261-FZ - Legislation Bulletin of the Russian Federation, 2011, N 31, art. 4701)",article_3_part_0_item_11,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
