reg_clause_id,reg_article_id,clause_type,label,paragraph_no,parent_clause_id,text,source_document
REG_ART_1_P1,REG_ART_1,paragraph,,1,,The purpose of this law is to regulate the provisions of the Federal Law on the Protection of Personal Data Held by Private Parties.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_P1,REG_ART_2,paragraph,,1,,"In addition to the definitions established in Article 3 of the Federal Law on the Protection of Personal Data Held by Private Parties, for the purposes of these Regulations, the following definitions shall apply:",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_I,REG_ART_2,fraction,I,,,Departments: Those indicated in Article 26 of the Federal Public Administration Organizational Law;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_II,REG_ART_2,fraction,II,,,"ARCO rights: The rights of access, rectification, cancellation and objection;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_III,REG_ART_2,fraction,III,,,"Digital environment: The environment made up of the combination of hardware, software, networks, applications, services, or any other technology of the information society that allows for the exchange or computerized or digitalized processing of data;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_IV,REG_ART_2,fraction,IV,,,Exclusion list: Database intended to record free-of-charge the refusal of the data subject to have his personal data processed;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_V,REG_ART_2,fraction,V,,,"Administrative security measures: Combination of actions and mechanisms to establish the management, support, and review of the security of information at an organizational level, the identification and classification of information, as well as the creation of an awareness by personnel and their education and training in the area of protection of personal information;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_VI,REG_ART_2,fraction,VI,,,"Physical security measures: Combination of actions and mechanisms, whether or not using technology, intended to:",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_VI_a,REG_ART_2,subparagraph,a,,REG_ART_2_F_VI,"Prevent unauthorized access or damage to or interference with physical installations, critical areas of the organization, equipment and information;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_VI_b,REG_ART_2,subparagraph,b,,REG_ART_2_F_VI,"Protect mobile, portable, or easily removable equipment located inside or outside installations;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_VI_c,REG_ART_2,subparagraph,c,,REG_ART_2_F_VI,"Provide maintenance to equipment containing or storing personal data so as to ensure their availability, proper working order, and integrity, and",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_VI_d,REG_ART_2,subparagraph,d,,REG_ART_2_F_VI,Guarantee the elimination of data in a secure manner;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_VII,REG_ART_2,fraction,VII,,,"Technical security measures: Combination of activities, controls, and mechanisms with measurable results that use technology to ensure that:",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_VII_a,REG_ART_2,subparagraph,a,,REG_ART_2_F_VII,Access to logical data bases or to information in logical format is by identified and authorized users;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_VII_b,REG_ART_2,subparagraph,b,,REG_ART_2_F_VII,The access referred to in the previous paragraph is only so that the user may carry out the activities required by his position;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_VII_c,REG_ART_2,subparagraph,c,,REG_ART_2_F_VII,"Actions to acquire, operate, develop, and maintain secure systems are included, and",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_VII_d,REG_ART_2,subparagraph,d,,REG_ART_2_F_VII,The management of communications and computerized resources used in the processing of personal data is carried out,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_VIII,REG_ART_2,fraction,VIII,,,"Identifiable individual: Any individual whose identity can be determined, directly or indirectly, by any information. An individual will not be deemed identifiable when to obtain the identification, disproportionate periods of time or activities are required;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_IX,REG_ART_2,fraction,IX,,,"Transmission: Communicating personal data between a data controller and a data processor, within or outside of Mexico;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_X,REG_ART_2,fraction,X,,,"Electronic media: Storage medium that can be accessed only by means of the use of a device with electronic circuits that processes its contents in order to examine, modify or store personal data, microfilms included;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_XI,REG_ART_2,fraction,XI,,,"Physical media: Storage medium intelligible by sight, in other words, which does not require any device to process its content in order to examine, modify or store the personal data, and",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2_F_XII,REG_ART_2,fraction,XII,,,"Suppression: Activity consisting in eliminating, erasing, or destroying personal data, once the blocking period has elapsed, under security measures previously established by a data controller.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_3_P1,REG_ART_3,paragraph,,1,,"These Regulations apply to the processing of personal data found on physical or electronic media that make possible, access to personal data according to specific criteria, regardless of the form or method of its creation, type of media, processing, storage, or organization.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_3_P2,REG_ART_3,paragraph,,2,,"These Regulations do not apply when, in order to obtain access to personal data, disproportionate periods of time or activities are required.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_3_P3,REG_ART_3,paragraph,,3,,"Pursuant to Article 3(V) of the Law, personal data may be in numerical, alphabetical, graphic, photographic, acoustic or other any other form, concerning an identified or identifiable individual.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_4_P1,REG_ART_4,paragraph,,1,,These Regulations will be obligatory for all processing when:,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_4_F_I,REG_ART_4,fraction,I,,,It is carried out in an establishment of the data controller located in Mexico;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_4_F_II,REG_ART_4,fraction,II,,,"It is carried out by a data processor, regardless of its location, on behalf of a data controller established in Mexico;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_4_F_III,REG_ART_4,fraction,III,,,"The data controller is not established in Mexico but is subject to Mexican laws as a consequence of entering into a contract or under international law, and",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_4_F_IV,REG_ART_4,fraction,IV,,,"The data controller is not established in Mexico and uses media located in Mexico, unless such media are used only for transit purposes that do not involve processing. For purposes of this subsection, the data controller shall provide the media necessary to comply with the obligations imposed by the Law, its Regulations, and other applicable rules and regulations with respect to the processing of personal data. For this purpose, it shall designate a representative or implement the mechanism that it considers appropriate, provided that by means of this, it is ensured that the data controller will be able to effectively comply with the obligations that are imposed by law on individuals and corporate bodies that deal with personal data in Mexico.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_4_P2,REG_ART_4,paragraph,,2,,"When the data controller is not located in Mexico, but the data processor is, the latter shall be subject to the provisions related to the security measures contained in Chapter III of these Regulations.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_4_P3,REG_ART_4,paragraph,,3,,"In the case of individuals, the establishment shall mean the location of their main place of business or that used to perform their activities or their home.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_4_P4,REG_ART_4,paragraph,,4,,"In case of corporate bodies, the establishment shall mean the location of the principal management of the business; in case of corporate bodies residing abroad, the location of the principal management of the business in Mexico, or in the absence thereof, that designated by them or any stable installation that allows actual or real performance of an activity.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_5_P1,REG_ART_5,paragraph,,1,,These Regulations shall not be applicable to the following information:,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_5_F_I,REG_ART_5,fraction,I,,,With respect to corporate bodies;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_5_F_II,REG_ART_5,fraction,II,,,"With respect to individuals as businessmen and women and professionals, and",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_5_F_III,REG_ART_5,fraction,III,,,"With respect to individuals who provide services for a corporate body or individual engaged in business and/or providing services consisting only of their first names and surnames, the position or post they hold, as well as some of the following employment data: physical address, electronic address, telephone and fax numbers; provided that this information is used only for purposes of representing the employer or contractor.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_6_P1,REG_ART_6,paragraph,,1,,"When the processing has as its purpose that of complying with an obligation arising from a legal relationship, it will not be considered as for exclusive personal use.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_7_P1,REG_ART_7,paragraph,,1,,"For the purposes of Article 3(X) of the Law, the following shall be considered as a public access source:",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_7_F_I,REG_ART_7,fraction,I,,,"Remote or local electronic, optical and by other technological means of communication, provided that the location of the personal data is intended to facilitate providing information to the public and is open for general consultation;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_7_F_II,REG_ART_7,fraction,II,,,Telephone directories as provided in applicable rules and regulations;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_7_F_III,REG_ART_7,fraction,III,,,"Official newspapers, gazettes and/or bulletins as provided in applicable rules and regulations, and",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_7_F_IV,REG_ART_7,fraction,IV,,,Social communication media.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_7_P2,REG_ART_7,paragraph,,2,,"For the cases listed in this Article to be considered public access sources, it will be necessary for them to be able to be consulted by any person not prevented from doing so by any rule or regulation, or without any requirement other than, if applicable, the payment of consideration, a fee or charge.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_7_P3,REG_ART_7,paragraph,,3,,A public access source shall not be considered as such when the information contained in it is illicit or has an illicit origin.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_7_P4,REG_ART_7,paragraph,,4,,"The processing of personal data from a public access source shall respect the reasonable expectation of privacy to which Article 7, third paragraph, of the Law refers.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_8_P1,REG_ART_8,paragraph,,1,,"Those forming part of a group that acts without legal status and that deals with personal data for specific purposes or for purposes of the group shall also be considered as data controllers or data processors, as the case may be.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_9_P1,REG_ART_9,paragraph,,1,,"Pursuant to Article 6 of the Law, data controllers shall comply with the following principles governing the protection of personal data:",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_9_F_I,REG_ART_9,fraction,I,,,Legitimacy;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_9_F_II,REG_ART_9,fraction,II,,,Consent;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_9_F_III,REG_ART_9,fraction,III,,,Information;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_9_F_IV,REG_ART_9,fraction,IV,,,Quality;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_9_F_V,REG_ART_9,fraction,V,,,Purpose;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_9_F_VI,REG_ART_9,fraction,VI,,,Loyalty;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_9_F_VII,REG_ART_9,fraction,VII,,,"Proportionality, and",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_9_F_VIII,REG_ART_9,fraction,VIII,,,Accountability.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_9_P2,REG_ART_9,paragraph,,2,,"In addition, the data controller shall observe the duties of security and confidentiality to which Articles 19 and 21 of the Law refer.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_10_P1,REG_ART_10,paragraph,,1,,The principle of legitimacy requires the data controller to ensure that processing follows and complies with the provisions of Mexican and international law.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_11_P1,REG_ART_11,paragraph,,1,,"The data controller must obtain consent for the processing of personal data unless it is not required under Article 10 of the Law. The request for consent shall refer to a specific purpose or purposes, contemplated in the privacy notice.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_11_P2,REG_ART_11,paragraph,,2,,When personal data are obtained personally or directly from the data subject consent shall be prior to the processing.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_12_P1,REG_ART_12,paragraph,,1,,"Obtaining consent, tacitly or explicitly, shall be:",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_12_F_I,REG_ART_12,fraction,I,,,"Free: without error, bad faith, violence or fraud that may affect the expression of the will of the data subject;",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_12_F_II,REG_ART_12,fraction,II,,,"Specific: refer to one or several specific purposes that justify the processing, and",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_12_F_III,REG_ART_12,fraction,III,,,"Informed: the data subject must previously know from the privacy notice, the processing to be done with his personal data and the consequences of granting his consent.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_12_P2,REG_ART_12,paragraph,,2,,"Express consent must also be unequivocal, in other words, that there are elements that unquestionably demonstrate that it was given.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_13_P1,REG_ART_13,paragraph,,1,,"Unless the Law requires the express consent of the data subject, tacit consent will be valid, as a general rule, pursuant to Articles 12 and 13 of these Regulations.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_14_P1,REG_ART_14,paragraph,,1,,"When the data controller seeks to collect personal data directly or personally from the data subject, it shall previously make available to the data subject a privacy notice which shall contain a mechanism by which, as the case may be, the data subject may state his refusal to allow the processing of his personal data for purposes different from those that are necessary and that create a legal relationship between the data controller and the data subject.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_14_P2,REG_ART_14,paragraph,,2,,"In those cases in which personal data is obtained indirectly from the data subject and cause a change in the purposes that were consented to in the transfer, the data controller shall make available to the data subject a privacy notice prior to using the personal data. When the privacy notice is not brought to the notice of the data subject directly or personally, the data subject shall have a period of five day to state, as the case may be, his refusal to allow the processing of his personal data for purposes which are different from those that are necessary and that create a legal relationship between the data controller and the data subject. If the data subject does not state his refusal to the processing of his data in accordance with the foregoing, it shall be understood that he has given his consent to the processing of the same, unless there is evidence to the contrary.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_14_P3,REG_ART_14,paragraph,,3,,"When the data controller uses remote or local electronic, optical or other technological means of communication mechanisms that allow personal data to be obtained automatically and simultaneously at the time the data subject has contact with the mechanisms, at the same time the data subject must be informed of the use of such technology, that through these mechanisms personal data will be obtained, and of the manner in which this can be disabled.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_15_P1,REG_ART_15,paragraph,,1,,The data controller must obtain the express consent of the data subject when:,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_15_F_I,REG_ART_15,fraction,I,,,It is required by law;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_15_F_II,REG_ART_15,fraction,II,,,In the case of financial or property data;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_15_F_III,REG_ART_15,fraction,III,,,In the case of sensitive data;,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_15_F_IV,REG_ART_15,fraction,IV,,,"It is requested by the data controller to prove the same, or",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_15_F_V,REG_ART_15,fraction,V,,,It is so agreed by the data subject and the data controller.,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_16_P1,REG_ART_16,paragraph,,1,,"When express consent is required by law, the data controller shall provide the data subject with a simple and free-of-charge means of stating this, if he so wishes.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_17_P1,REG_ART_17,paragraph,,1,,"As provided in Articles 10(IV) and 37(VII) of the Law, tacit or express consent will not be required for the processing of personal data when this arises from a legal relationship between the data subject and the data controller.",KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
