source_id,target_id,rel_type,reg_article_id,source_document
REG_ART_3_P3,REG_CITE_1,CITES_LAW_PROVISION,REG_ART_3,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_7_P1,REG_CITE_2,CITES_LAW_PROVISION,REG_ART_7,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_7_P4,REG_CITE_3,CITES_LAW_PROVISION,REG_ART_7,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_9_P1,REG_CITE_4,CITES_LAW_PROVISION,REG_ART_9,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_9_P2,REG_CITE_5,CITES_LAW_PROVISION,REG_ART_9,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_11_P1,REG_CITE_6,CITES_LAW_PROVISION,REG_ART_11,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_17_P1,REG_CITE_7,CITES_LAW_PROVISION,REG_ART_17,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_17_P2,REG_CITE_8,CITES_LAW_PROVISION,REG_ART_17,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_21_P2,REG_CITE_9,CITES_LAW_PROVISION,REG_ART_21,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_26_P1,REG_CITE_10,CITES_LAW_PROVISION,REG_ART_26,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_26_P1,REG_CITE_11,CITES_LAW_PROVISION,REG_ART_26,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_27_P1,REG_CITE_12,CITES_LAW_PROVISION,REG_ART_27,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_30_P1,REG_CITE_13,CITES_LAW_PROVISION,REG_ART_30,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_32_P1,REG_CITE_14,CITES_LAW_PROVISION,REG_ART_32,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_40_P1,REG_CITE_15,CITES_LAW_PROVISION,REG_ART_40,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_44_P1,REG_CITE_16,CITES_LAW_PROVISION,REG_ART_44,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_44_F_II,REG_CITE_16,CITES_LAW_PROVISION,REG_ART_44,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_47_P1,REG_CITE_17,CITES_LAW_PROVISION,REG_ART_47,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_48_P1,REG_CITE_18,CITES_LAW_PROVISION,REG_ART_48,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_56_P1,REG_CITE_19,CITES_LAW_PROVISION,REG_ART_56,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_56_F_II,REG_CITE_20,CITES_LAW_PROVISION,REG_ART_56,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_58_P1,REG_CITE_21,CITES_LAW_PROVISION,REG_ART_58,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_62_F_III,REG_CITE_22,CITES_LAW_PROVISION,REG_ART_62,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_68_P1,REG_CITE_23,CITES_LAW_PROVISION,REG_ART_68,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_71_P1,REG_CITE_24,CITES_LAW_PROVISION,REG_ART_71,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_74_P1,REG_CITE_23,CITES_LAW_PROVISION,REG_ART_74,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_78_P1,REG_CITE_25,CITES_LAW_PROVISION,REG_ART_78,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_79_P1,REG_CITE_26,CITES_LAW_PROVISION,REG_ART_79,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_84_P2,REG_CITE_27,CITES_LAW_PROVISION,REG_ART_84,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_85_P1,REG_CITE_27,CITES_LAW_PROVISION,REG_ART_85,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_86_P1,REG_CITE_28,CITES_LAW_PROVISION,REG_ART_86,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_86_P1,REG_CITE_27,CITES_LAW_PROVISION,REG_ART_86,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_91_P1,REG_CITE_9,CITES_LAW_PROVISION,REG_ART_91,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_93_P1,REG_CITE_29,CITES_LAW_PROVISION,REG_ART_93,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_94_P1,REG_CITE_30,CITES_LAW_PROVISION,REG_ART_94,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_96_P1,REG_CITE_31,CITES_LAW_PROVISION,REG_ART_96,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
