cited_law_reference_id,citation_text,cited_article_numbers,cited_instrument,source_document
REG_CITE_1,Article 3(V) of the Law,3,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_2,Article 3(X) of the Law,3,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_3,"Article 7, third paragraph, of the Law",7,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_4,Article 6 of the Law,6,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_5,Articles 19 and 21 of the Law,19;21,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_6,Article 10 of the Law,10,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_7,Articles 10(IV) and 37(VII) of the Law,10;37,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_8,"Article 8, third paragraph, of the Law",8,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_9,Article 32 of the Law,32,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_10,"Articles 8, 15, 16, 33, and 36 of the Law",8;15;16;33;36,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_11,Article 43(III) of the Law,43,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_12,Article 17(II) of the Law,17,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_13,Article 16(II) of the Law,16,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_14,"Article 18, third paragraph, of the Law",18,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_15,Article 12 of the Law,12,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_16,Article 7 of the Law,7,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_17,Articles 6 and 14 of the Law,6;14,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_18,Article 14 of the Law,14,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_19,"Article 9, second paragraph, of the Law",9,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_20,Article 4 of the Law,4,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_21,Article 65 (III) of the Law,65,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_22,Article 20 of the Law,20,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_23,Article 37 of the Law,37,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_24,Article 36 of the Law,36,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_25,Article 40 of the Law,40,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_26,Article 44 of the Law,44,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_27,Article 43 (V) of the Law,43,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_28,"Article 44, last paragraph, of the Law",44,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_29,"Article 35, second paragraph, of the Law",35,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_30,Article 29 (I) of the Law,29,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_31,Articles 29 (II) and 31 of the Law,29;31,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_32,"Article 32, second paragraph of the Law",32,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_33,Article 23 of the Law,23,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_34,Article 24 of the Law,24,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CITE_35,Article 25 of the Law,25,Federal Law on the Protection of Personal Data Held by Private Parties,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
