source_id,target_id,rel_type,number
REG_CH_2,REG_CH_2_S_I,HAS_SECTION,I
REG_CH_2,REG_CH_2_S_II,HAS_SECTION,II
REG_CH_4,REG_CH_4_S_I,HAS_SECTION,I
REG_CH_4,REG_CH_4_S_II,HAS_SECTION,II
REG_CH_4,REG_CH_4_S_III,HAS_SECTION,III
REG_CH_7,REG_CH_7_S_I,HAS_SECTION,I
REG_CH_7,REG_CH_7_S_II,HAS_SECTION,II
REG_CH_7,REG_CH_7_S_III,HAS_SECTION,III
REG_CH_7,REG_CH_7_S_IV,HAS_SECTION,IV
REG_CH_7,REG_CH_7_S_V,HAS_SECTION,V
REG_CH_7,REG_CH_7_S_VI,HAS_SECTION,VI
