reg_article_id,number,rubric,reg_chapter_id,reg_section_id,text,regulation_id,source_document
REG_ART_1,1,Purpose,REG_CH_1,,The purpose of this law is to regulate the provisions of the Federal Law on the Protection of Personal Data Held by Private Parties.,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_2,2,Definitions,REG_CH_1,,"In addition to the definitions established in Article 3 of the Federal Law on the Protection of Personal Data Held by Private Parties, for the purposes of these Regulations, the following definitions shall apply: Departments: Those indicated in Article 26 of the Federal Public Administration Organizational Law; ARCO rights: The rights of access, rectification, cancellation and objection; Digital environment: The environment made up of the combination of hardware, software, networks, applications, services, or any other technology of the information society that allows for the exchange or computerized or digitalized processing of data; Exclusion list: Database intended to record free-of-charge the refusal of the data subject to have his personal data processed; Administrative security measures: Combination of actions and mechanisms to establish the management, support, and review of the security of information at an organizational level, the identification and classification of information, as well as the creation of an awareness by personnel and their education and training in the area of protection of personal information; Physical security measures: Combination of actions and mechanisms, whether or not using technology, intended to: Prevent unauthorized access or damage to or interference with physical installations, critical areas of the organization, equipment and information; Protect mobile, portable, or easily removable equipment located inside or outside installations; Provide maintenance to equipment containing or storing personal data so as to ensure their availability, proper working order, and integrity, and Guarantee the elimination of data in a secure manner; Technical security measures: Combination of activities, controls, and mechanisms with measurable results that use technology to ensure that: Access to logical data bases or to information in logical format is by identified and authorized users; The access referred to in the previous paragraph is only so that the user may carry out the activities required by his position; Actions to acquire, operate, develop, and maintain secure systems are included, and The management of communications and computerized resources used in the processing of personal data is carried out Identifiable individual: Any individual whose identity can be determined, directly or indirectly, by any information. An individual will not be deemed identifiable when to obtain the identification, disproportionate periods of time or activities are required; Transmission: Communicating personal data between a data controller and a data processor, within or outside of Mexico; Electronic media: Storage medium that can be accessed only by means of the use of a device with electronic circuits that processes its contents in order to examine, modify or store personal data, microfilms included; Physical media: Storage medium intelligible by sight, in other words, which does not require any device to process its content in order to examine, modify or store the personal data, and Suppression: Activity consisting in eliminating, erasing, or destroying personal data, once the blocking period has elapsed, under security measures previously established by a data controller.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_3,3,Subject Matter,REG_CH_1,,"These Regulations apply to the processing of personal data found on physical or electronic media that make possible, access to personal data according to specific criteria, regardless of the form or method of its creation, type of media, processing, storage, or organization. These Regulations do not apply when, in order to obtain access to personal data, disproportionate periods of time or activities are required. Pursuant to Article 3(V) of the Law, personal data may be in numerical, alphabetical, graphic, photographic, acoustic or other any other form, concerning an identified or identifiable individual.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_4,4,Territorial Scope,REG_CH_1,,"These Regulations will be obligatory for all processing when: It is carried out in an establishment of the data controller located in Mexico; It is carried out by a data processor, regardless of its location, on behalf of a data controller established in Mexico; The data controller is not established in Mexico but is subject to Mexican laws as a consequence of entering into a contract or under international law, and The data controller is not established in Mexico and uses media located in Mexico, unless such media are used only for transit purposes that do not involve processing. For purposes of this subsection, the data controller shall provide the media necessary to comply with the obligations imposed by the Law, its Regulations, and other applicable rules and regulations with respect to the processing of personal data. For this purpose, it shall designate a representative or implement the mechanism that it considers appropriate, provided that by means of this, it is ensured that the data controller will be able to effectively comply with the obligations that are imposed by law on individuals and corporate bodies that deal with personal data in Mexico. When the data controller is not located in Mexico, but the data processor is, the latter shall be subject to the provisions related to the security measures contained in Chapter III of these Regulations. In the case of individuals, the establishment shall mean the location of their main place of business or that used to perform their activities or their home. In case of corporate bodies, the establishment shall mean the location of the principal management of the business; in case of corporate bodies residing abroad, the location of the principal management of the business in Mexico, or in the absence thereof, that designated by them or any stable installation that allows actual or real performance of an activity.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_5,5,Information About Individuals Carrying on Business and Data About Their Representatives and Contacts,REG_CH_1,,"These Regulations shall not be applicable to the following information: With respect to corporate bodies; With respect to individuals as businessmen and women and professionals, and With respect to individuals who provide services for a corporate body or individual engaged in business and/or providing services consisting only of their first names and surnames, the position or post they hold, as well as some of the following employment data: physical address, electronic address, telephone and fax numbers; provided that this information is used only for purposes of representing the employer or contractor.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_6,6,Processing Arising from a Legal Relationship,REG_CH_1,,"When the processing has as its purpose that of complying with an obligation arising from a legal relationship, it will not be considered as for exclusive personal use.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_7,7,Public Access Source,REG_CH_1,,"For the purposes of Article 3(X) of the Law, the following shall be considered as a public access source: Remote or local electronic, optical and by other technological means of communication, provided that the location of the personal data is intended to facilitate providing information to the public and is open for general consultation; Telephone directories as provided in applicable rules and regulations; Official newspapers, gazettes and/or bulletins as provided in applicable rules and regulations, and Social communication media. For the cases listed in this Article to be considered public access sources, it will be necessary for them to be able to be consulted by any person not prevented from doing so by any rule or regulation, or without any requirement other than, if applicable, the payment of consideration, a fee or charge. A public access source shall not be considered as such when the information contained in it is illicit or has an illicit origin. The processing of personal data from a public access source shall respect the reasonable expectation of privacy to which Article 7, third paragraph, of the Law refers.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_8,8,Groups Without Legal Status,REG_CH_1,,"Those forming part of a group that acts without legal status and that deals with personal data for specific purposes or for purposes of the group shall also be considered as data controllers or data processors, as the case may be.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_9,9,Principles of Data Protection,REG_CH_2,REG_CH_2_S_I,"Pursuant to Article 6 of the Law, data controllers shall comply with the following principles governing the protection of personal data: Legitimacy; Consent; Information; Quality; Purpose; Loyalty; Proportionality, and Accountability. In addition, the data controller shall observe the duties of security and confidentiality to which Articles 19 and 21 of the Law refer.",REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_ART_10,10,Principle of Legitimacy,REG_CH_2,REG_CH_2_S_I,The principle of legitimacy requires the data controller to ensure that processing follows and complies with the provisions of Mexican and international law.,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
