source_id,target_id,rel_type,article_number
LAW_CH_I,LAW_ART_1,HAS_ARTICLE,1
LAW_CH_I,LAW_ART_2,HAS_ARTICLE,2
LAW_CH_I,LAW_ART_3,HAS_ARTICLE,3
LAW_CH_I,LAW_ART_4,HAS_ARTICLE,4
LAW_CH_II,LAW_ART_5,HAS_ARTICLE,5
LAW_CH_II,LAW_ART_6,HAS_ARTICLE,6
LAW_CH_II,LAW_ART_7,HAS_ARTICLE,7
LAW_CH_II,LAW_ART_8,HAS_ARTICLE,8
LAW_CH_II,LAW_ART_9,HAS_ARTICLE,9
LAW_CH_II,LAW_ART_10,HAS_ARTICLE,10
LAW_CH_II,LAW_ART_11,HAS_ARTICLE,11
LAW_CH_II,LAW_ART_12,HAS_ARTICLE,12
LAW_CH_II,LAW_ART_13,HAS_ARTICLE,13
LAW_CH_II,LAW_ART_14,HAS_ARTICLE,14
LAW_CH_II,LAW_ART_15,HAS_ARTICLE,15
LAW_CH_II,LAW_ART_16,HAS_ARTICLE,16
LAW_CH_II,LAW_ART_17,HAS_ARTICLE,17
LAW_CH_II,LAW_ART_18,HAS_ARTICLE,18
LAW_CH_II,LAW_ART_19,HAS_ARTICLE,19
LAW_CH_II,LAW_ART_20,HAS_ARTICLE,20
LAW_CH_III,LAW_ART_21,HAS_ARTICLE,21
LAW_CH_III,LAW_ART_22,HAS_ARTICLE,22
LAW_CH_III,LAW_ART_23,HAS_ARTICLE,23
LAW_CH_III,LAW_ART_24,HAS_ARTICLE,24
LAW_CH_III,LAW_ART_25,HAS_ARTICLE,25
LAW_CH_III,LAW_ART_26,HAS_ARTICLE,26
LAW_CH_IV,LAW_ART_27,HAS_ARTICLE,27
LAW_CH_IV,LAW_ART_28,HAS_ARTICLE,28
LAW_CH_IV,LAW_ART_29,HAS_ARTICLE,29
LAW_CH_IV,LAW_ART_30,HAS_ARTICLE,30
LAW_CH_IV,LAW_ART_31,HAS_ARTICLE,31
LAW_CH_IV,LAW_ART_32,HAS_ARTICLE,32
LAW_CH_IV,LAW_ART_33,HAS_ARTICLE,33
LAW_CH_IV,LAW_ART_34,HAS_ARTICLE,34
LAW_CH_V,LAW_ART_35,HAS_ARTICLE,35
LAW_CH_V,LAW_ART_36,HAS_ARTICLE,36
LAW_CH_VI,LAW_ART_37,HAS_ARTICLE,37
LAW_CH_VII,LAW_ART_38,HAS_ARTICLE,38
LAW_CH_VII,LAW_ART_39,HAS_ARTICLE,39
LAW_CH_VIII,LAW_ART_40,HAS_ARTICLE,40
LAW_CH_VIII,LAW_ART_41,HAS_ARTICLE,41
LAW_CH_VIII,LAW_ART_42,HAS_ARTICLE,42
LAW_CH_VIII,LAW_ART_43,HAS_ARTICLE,43
LAW_CH_VIII,LAW_ART_44,HAS_ARTICLE,44
LAW_CH_VIII,LAW_ART_45,HAS_ARTICLE,45
LAW_CH_VIII,LAW_ART_46,HAS_ARTICLE,46
LAW_CH_VIII,LAW_ART_47,HAS_ARTICLE,47
LAW_CH_VIII,LAW_ART_48,HAS_ARTICLE,48
LAW_CH_VIII,LAW_ART_49,HAS_ARTICLE,49
LAW_CH_VIII,LAW_ART_50,HAS_ARTICLE,50
LAW_CH_VIII,LAW_ART_51,HAS_ARTICLE,51
LAW_CH_VIII,LAW_ART_52,HAS_ARTICLE,52
LAW_CH_VIII,LAW_ART_53,HAS_ARTICLE,53
LAW_CH_IX,LAW_ART_54,HAS_ARTICLE,54
LAW_CH_IX,LAW_ART_55,HAS_ARTICLE,55
LAW_CH_X,LAW_ART_56,HAS_ARTICLE,56
LAW_CH_X,LAW_ART_57,HAS_ARTICLE,57
LAW_CH_XI,LAW_ART_58,HAS_ARTICLE,58
LAW_CH_XI,LAW_ART_59,HAS_ARTICLE,59
LAW_CH_XI,LAW_ART_60,HAS_ARTICLE,60
LAW_CH_XI,LAW_ART_61,HAS_ARTICLE,61
LAW_CH_XII,LAW_ART_62,HAS_ARTICLE,62
LAW_CH_XII,LAW_ART_63,HAS_ARTICLE,63
LAW_CH_XII,LAW_ART_64,HAS_ARTICLE,64
