source_id,target_id,rel_type,label
REG_ART_2_F_VI,REG_ART_2_F_VI_a,HAS_SUBPARAGRAPH,a
REG_ART_2_F_VI,REG_ART_2_F_VI_b,HAS_SUBPARAGRAPH,b
REG_ART_2_F_VI,REG_ART_2_F_VI_c,HAS_SUBPARAGRAPH,c
REG_ART_2_F_VI,REG_ART_2_F_VI_d,HAS_SUBPARAGRAPH,d
REG_ART_2_F_VII,REG_ART_2_F_VII_a,HAS_SUBPARAGRAPH,a
REG_ART_2_F_VII,REG_ART_2_F_VII_b,HAS_SUBPARAGRAPH,b
REG_ART_2_F_VII,REG_ART_2_F_VII_c,HAS_SUBPARAGRAPH,c
REG_ART_2_F_VII,REG_ART_2_F_VII_d,HAS_SUBPARAGRAPH,d
REG_ART_52_F_I,REG_ART_52_F_I_a,HAS_SUBPARAGRAPH,a
REG_ART_52_F_I,REG_ART_52_F_I_b,HAS_SUBPARAGRAPH,b
REG_ART_52_F_I,REG_ART_52_F_I_c,HAS_SUBPARAGRAPH,c
REG_ART_52_F_I,REG_ART_52_F_I_d,HAS_SUBPARAGRAPH,d
REG_ART_52_F_II,REG_ART_52_F_II_a,HAS_SUBPARAGRAPH,a
REG_ART_52_F_II,REG_ART_52_F_II_b,HAS_SUBPARAGRAPH,b
REG_ART_52_F_II,REG_ART_52_F_II_c,HAS_SUBPARAGRAPH,c
REG_ART_52_F_II,REG_ART_52_F_II_d,HAS_SUBPARAGRAPH,d
REG_ART_52_F_II,REG_ART_52_F_II_e,HAS_SUBPARAGRAPH,e
REG_ART_89_F_II,REG_ART_89_F_II_a,HAS_SUBPARAGRAPH,a
REG_ART_89_F_II,REG_ART_89_F_II_b,HAS_SUBPARAGRAPH,b
REG_ART_89_F_II,REG_ART_89_F_II_c,HAS_SUBPARAGRAPH,c
