entityType,roleId
PublicCompany,ROLE-CISO
PublicCompany,ROLE-CIO
PublicCompany,ROLE-CRO
PublicCompany,ROLE-CFO
PublicCompany,ROLE-GENERAL-COUNSEL
SmallerReportingCompany,ROLE-CISO
SmallerReportingCompany,ROLE-CFO
ForeignPrivateIssuer,ROLE-CISO
ForeignPrivateIssuer,ROLE-CFO
