sourceId,targetId
ROLE-CISO,GOV-AUDIT-COMM
ROLE-CISO,GOV-RISK-COMM
ROLE-CISO,GOV-CYBER-COMM
ROLE-CISO,GOV-BOARD-001
ROLE-CRO,GOV-RISK-COMM
ROLE-CIO,GOV-TECH-COMM
ROLE-CFO,GOV-AUDIT-COMM
ROLE-GENERAL-COUNSEL,GOV-BOARD-001
ROLE-GENERAL-COUNSEL,GOV-DISCLOSURE-COMM
