penaltytier_id,tier,maximum_amount,text,specified_in,source_document
penalty_tier_a,a,"£1,000,000","not exceed £1,000,000 for any contravention which the enforcement authority determines could not cause a NIS incident;",reg18(6)(a),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
penalty_tier_b,b,"£3,400,000","not exceed £3,400,000 for a material contravention which the enforcement authority determines has caused, or could cause, an incident resulting in a reduction of service provision by the OES or RDSP for a significant period of time;",reg18(6)(b),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
penalty_tier_c,c,"£8,500,000","not exceed £8,500,000 for a material contravention which the enforcement authority determines has caused, or could cause, an incident resulting in a disruption of service provision by the OES or RDSP for a significant period of time; and",reg18(6)(c),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
penalty_tier_d,d,"£17,000,000","not exceed £17,000,000 for a material contravention which the enforcement authority determines has caused, or could cause, an incident resulting in an immediate threat to life or significant adverse impact on the United Kingdom economy.",reg18(6)(d),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
