part_id,number,title,source_document
part_1,1,Introduction,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
part_2,2,The National Framework,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
part_3,3,Operators of essential services,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
part_4,4,Digital Services,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
part_5,5,Enforcement and penalties,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
part_6,6,Miscellaneous,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
