sector_id,name,column,source,source_document
sector_energy,Energy,Column 1,Schedule 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sector_transport,Transport,Column 1,Schedule 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sector_health_sector,Health Sector,Column 1,Schedule 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sector_drinking_water_supply_and_distribution,Drinking water supply and distribution,Column 1,Schedule 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sector_digital_infrastructure,Digital Infrastructure,Column 1,Schedule 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
